he is still on our team
Basic
0.8 0.8
575.9999 518.4
Moved 337.9405 526.0797 548 0.2883328 0.3086419
Moved 337.9598 526 546.8638 0.2881944 0.3064502
Moved 337.9713 527 547 0.2899306 0.3067129
Moved 337.9865 528.0504 547 0.2917542 0.3067129
Stationary 338.0017 528.0504 547 0.2917542 0.3067129
Moved 338.0178 528.9255 546 0.2932734 0.3047838
Moved 338.0326 530.3603 544.6397 0.2957643 0.3021598
Moved 338.0517 531.8093 542.3815 0.2982799 0.2978038
Moved 338.0644 532.9103 541.0897 0.3001915 0.2953118
Moved 338.0798 534.3196 537.0412 0.3026382 0.2875022
Moved 338.0959 536.5091 529.4727 0.3064394 0.2729026
Moved 338.1107 540.5798 522.0336 0.3135066 0.2585524
Moved 338.1267 542.6281 513.8595 0.3170626 0.2427844
Moved 338.1416 545.2626 506.3435 0.3216365 0.228286
Moved 338.157 547.5679 490.1848 0.3256388 0.1971156
Moved 338.1717 549.5186 478.1663 0.3290254 0.1739318
Moved 338.1884 552.2413 462.552 0.3337523 0.1438117
Moved 338.2084 554.5608 449.3922 0.3377792 0.1184263
Moved 338.2203 556.001 435.991 0.3402795 0.09257521
Moved 338.2344 558.8906 421.5469 0.3452962 0.06471239
Moved 338.2499 561.7797 410.7711 0.3503119 0.04392571
Moved 338.2649 563.3301 402.0195 0.3530036 0.02704364
Moved 338.2804 566 395 0.3576389 0.01350306
Moved 338.2957 567.7006 388.8983 0.3605912 0.001732802
Moved 338.3104 570.5849 381.5378 0.3655988 -0.01246558
Moved 338.3266 573.4634 371.3414 0.3705962 -0.03213458
Moved 338.3423 575.1686 364.1572 0.3735565 -0.04599312
Moved 338.3578 576.6149 359.1552 0.3760676 -0.05564206
Moved 338.373 578.0551 353.7797 0.3785678 -0.06601144
Moved 338.3881 578 348.0186 0.3784722 -0.07712463
Moved 338.4031 579 346.7332 0.3802083 -0.07960425
Moved 338.4184 580.0706 342.7883 0.382067 -0.08721392
Moved 338.4345 580 339.9838 0.3819444 -0.09262379
Moved 338.4561 581 336.6144 0.3836805 -0.09912337
Stationary 338.4682 581 336.6144 0.3836805 -0.09912337
Moved 338.4798 581 335.1738 0.3836805 -0.1019025
