the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 525.4859 474.2204 383.2204 0.1982993 -0.02765956
Moved 525.5033 475.5 383 0.2005208 -0.02893518
Moved 525.5165 476.16 383 0.2016666 -0.02893518
Moved 525.5305 477.7488 384 0.2044251 -0.02314797
Moved 525.5482 478.5 384 0.2057291 -0.02314797
Moved 525.5619 479.1124 385.1124 0.2067924 -0.01671049
Moved 525.5775 480.7126 385.7126 0.2095705 -0.01323735
Moved 525.5948 482.1161 387.1161 0.2120073 -0.005114696
Moved 525.617 484.9971 389.9971 0.2170089 0.01155756
Stationary 525.6281 484.9971 389.9971 0.2170089 0.01155756
Moved 525.6398 487.8829 392.8829 0.2220189 0.02825737
Moved 525.655 489.3655 394.6827 0.2245929 0.03867326
Moved 525.6703 491.0271 397.0542 0.2274776 0.05239716
Moved 525.6858 493.9263 399.9263 0.2325109 0.06901785
Moved 525.7027 497.6974 403.6974 0.239058 0.09084163
Moved 525.7171 500.6705 406.6705 0.2442196 0.1080471
Moved 525.7322 505.3186 411.3186 0.2522891 0.1349456
Moved 525.7488 508.4275 414.4275 0.2576866 0.1529369
Moved 525.7632 514 417 0.2673611 0.1678241
Moved 525.7784 520.5128 422.0085 0.2786679 0.1968088
Moved 525.795 526.7288 426.5466 0.2894597 0.2230709
Moved 525.8093 532.8835 430.2557 0.300145 0.2445355
Moved 525.829 539.335 433.134 0.3113455 0.2611924
Moved 525.8423 546.4295 438.9436 0.3236623 0.2948125
Moved 525.8559 552.7438 441.8719 0.3346247 0.3117585
Moved 525.8716 559.94 447.552 0.347118 0.3446296
Moved 525.8862 563.2827 448.6414 0.3529212 0.3509338
Moved 525.9037 567.681 451.7874 0.3605573 0.3691398
Moved 525.9172 570.662 453.331 0.3657326 0.3780729
Moved 525.9331 573.5398 454.7699 0.3707288 0.3863999
Moved 525.9492 576.412 456.206 0.3757153 0.3947105
Moved 525.9635 577.2854 457 0.3772316 0.3993056
Moved 525.9786 578 458.0838 0.3784722 0.4055775
Moved 525.996 579.1456 458 0.3804611 0.4050925
Moved 526.0107 580.5 458 0.3828125 0.4050925
Stationary 526.0267 580.5 458 0.3828125 0.4050925
Moved 526.0447 581.1664 458 0.3839694 0.4050925
Stationary 526.0561 581.1664 458 0.3839694 0.4050925
