parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Moved 161.0149 384.4096 466.4096 0.08475572 0.3025061
Moved 161.0362 385.3541 467.3541 0.08803501 0.3061497
Stationary 161.0479 385.3541 467.3541 0.08803501 0.3061497
Moved 161.0604 387.2256 469.2256 0.09453326 0.3133702
Moved 161.0755 388.5 470.5 0.09895831 0.3182868
Stationary 161.0911 388.5 470.5 0.09895831 0.3182868
Moved 161.1067 389 472.3833 0.1006944 0.3255527
Stationary 161.1224 389 472.3833 0.1006944 0.3255527
Moved 161.1382 390.3591 472 0.1054135 0.324074
Moved 161.154 390 473.0757 0.1041667 0.3282242
Moved 161.1686 391.5646 473 0.1095994 0.3279319
Moved 161.185 392.9403 473 0.1143759 0.3279319
Moved 161.199 395.6585 473 0.1238142 0.3279319
Moved 161.2176 399.1631 473 0.1359831 0.3279319
Moved 161.2312 403.443 473 0.1508436 0.3279319
Moved 161.2508 410.5 459.5 0.1753472 0.2758487
Moved 161.2638 413.8183 459.6363 0.1868691 0.2763745
Moved 161.2771 421.9036 452.0964 0.214943 0.2472852
Moved 161.2929 427.4376 446.5624 0.2341582 0.2259351
Moved 161.3085 432.98 441.765 0.2534029 0.2074264
Moved 161.3233 437.3878 436.4829 0.2687077 0.1870482
Moved 161.3388 442.5304 430.4493 0.2865639 0.1637703
Moved 161.3559 446.6817 425.3184 0.3009779 0.1439751
Moved 161.3697 448.8988 421.2023 0.3086765 0.1280952
Moved 161.3856 451.6455 418.3545 0.3182136 0.1171082
Moved 161.4009 453.424 414.864 0.324389 0.1036417
