players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 342.5325 274.9513 528.2648 -0.196872 0.3607634
Moved 342.5469 266.6639 525.4754 -0.2160557 0.3535889
Moved 342.5658 258.2837 521.6418 -0.2354544 0.3437289
Moved 342.58 250.3394 519.4465 -0.253844 0.3380825
Moved 342.5927 244.0143 517.0057 -0.2684854 0.3318048
Moved 342.6079 238.2834 514.1417 -0.2817514 0.3244383
Moved 342.6237 234.4857 514.1619 -0.2905422 0.3244904
Moved 342.6393 231.4371 514 -0.2975994 0.324074
Moved 342.6587 229 512.5 -0.3032407 0.3202159
Moved 342.6705 227.2048 512 -0.3073962 0.31893
Moved 342.6865 224.541 512 -0.3135624 0.31893
Moved 342.7011 222.3281 511 -0.318685 0.3163579
Moved 342.7176 220.8889 509.8889 -0.3220165 0.3135
Moved 342.7329 219 510 -0.3263889 0.3137859
Moved 342.7477 218.0114 510 -0.3286773 0.3137859
Moved 342.7638 216.5753 508.5753 -0.3320017 0.3101214
Moved 342.7793 215.4586 509 -0.3345865 0.3112139
Moved 342.7943 214.5 509 -0.3368055 0.3112139
Moved 342.8158 213.1435 509 -0.3399457 0.3112139
Stationary 342.827 213.1435 509 -0.3399457 0.3112139
Stationary 342.8391 213 509 -0.3402778 0.3112139
Stationary 342.8549 213 509 -0.3402778 0.3112139
Moved 342.8707 211.6266 507.6266 -0.343457 0.3076814
Moved 342.8872 212 506.8893 -0.3425926 0.3057853
Moved 342.9017 212 504.6102 -0.3425926 0.2999232
Moved 342.9172 212 502.8544 -0.3425926 0.2954073
Moved 342.933 212 499.8376 -0.3425926 0.287648
Moved 342.9482 212 496.9513 -0.3425926 0.2802244
Moved 342.9635 212 495.5328 -0.3425926 0.276576
Moved 342.981 212 494.1002 -0.3425926 0.2728915
Moved 342.9949 212 492.9692 -0.3425926 0.2699825
Moved 343.0092 212 491.5199 -0.3425926 0.2662548
Moved 343.0261 212 490.0824 -0.3425926 0.2625575
Moved 343.0405 212 488.6425 -0.3425926 0.258854
Moved 343.0601 219 488.2023 -0.3263889 0.2577218
Moved 343.0714 219 487.5 -0.3263889 0.2559156
Moved 343.0862 219 486.6628 -0.3263889 0.2537624
Stationary 343.1028 219 486.6628 -0.3263889 0.2537624
Moved 343.117 220.2194 486 -0.3235663 0.2520575
Moved 343.1338 220 484.5 -0.3240741 0.2481995
Stationary 343.1506 220 484.5 -0.3240741 0.2481995
Moved 343.1646 220 483.8212 -0.3240741 0.2464536
Stationary 343.1805 220 483.8212 -0.3240741 0.2464536
Ended 343.1952 221.1402 482.8598 -0.3214347 0.2439809
Candidates 343.3785 12 invited united invite injured know units obvious injuries knows occurred inherited butter
Began 344.534 354 421 -0.01388888 0.08487643
Stationary 344.5536 354 421 -0.01388888 0.08487643
Stationary 344.5709 354 421 -0.01388888 0.08487643
Stationary 344.582 354 421 -0.01388888 0.08487643
Stationary 344.5971 354 421 -0.01388888 0.08487643
Ended 344.6121 354 421 -0.01388888 0.08487643
NextCandidatePanel 344.6557
Began 344.6883 349 416 -0.02546296 0.07201634
Stationary 344.7054 349 416 -0.02546296 0.07201634
Stationary 344.7199 349 416 -0.02546296 0.07201634
Stationary 344.7356 349 416 -0.02546296 0.07201634
Ended 344.7519 349 416 -0.02546296 0.07201634
Cancel 344.813
Began 345.2126 443 381 0.1921296 -0.01800419
Stationary 345.2331 443 381 0.1921296 -0.01800419
Stationary 345.2441 443 381 0.1921296 -0.01800419
Stationary 345.2646 443 381 0.1921296 -0.01800419
Stationary 345.2758 443 381 0.1921296 -0.01800419
Stationary 345.2911 443 381 0.1921296 -0.01800419
