that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Moved 374.9839 276.1249 324 -0.1941554 -0.164609
Moved 374.9995 276 313.5033 -0.1944444 -0.1916068
Moved 375.0143 276 314.6422 -0.1944444 -0.1886774
Moved 375.0328 276 313.0322 -0.1944444 -0.1928186
Moved 375.0444 276 308.9714 -0.1944444 -0.203263
Moved 375.0597 270.2439 305.8415 -0.2077688 -0.2113131
Moved 375.0748 262.5253 300.6202 -0.2256359 -0.2247422
Moved 375.0912 255.652 296.5912 -0.2415462 -0.235105
Moved 375.1079 247.7649 294.306 -0.2598034 -0.2409827
Moved 375.1212 240.8916 292.7783 -0.2757138 -0.2449118
Moved 375.137 233.6135 291.8019 -0.2925614 -0.247423
Moved 375.1525 227.4317 291 -0.3068709 -0.2494857
Moved 375.1679 222.9358 291 -0.3172782 -0.2494857
Moved 375.183 218.8004 291 -0.3268509 -0.2494857
Moved 375.1988 217.4435 291 -0.3299919 -0.2494857
Moved 375.2141 214.6866 291 -0.3363737 -0.2494857
Moved 375.2292 213.4649 291 -0.3392016 -0.2494857
Moved 375.2492 212.2917 295.9584 -0.3419175 -0.2367326
Moved 375.2609 211.0031 299.9937 -0.3449002 -0.2263537
Moved 375.2756 209.6285 301.3715 -0.3480822 -0.2228099
Moved 375.2906 209.2333 302.7667 -0.3489969 -0.2192216
Moved 375.3063 207.8448 304.1552 -0.352211 -0.2156502
Moved 375.3223 208 305.5 -0.3518518 -0.2121914
Moved 375.3373 208 306.9296 -0.3518518 -0.2085146
Moved 375.3527 208 308.3301 -0.3518518 -0.2049124
Ended 375.368 208 309.2986 -0.3518518 -0.2024212
NextCandidatePanel 375.4261
Began 376.1215 304 307 -0.1296296 -0.2083334
Stationary 376.1387 304 307 -0.1296296 -0.2083334
Stationary 376.1536 304 307 -0.1296296 -0.2083334
Stationary 376.1688 304 307 -0.1296296 -0.2083334
Moved 376.1892 294.5399 307 -0.151528 -0.2083334
Moved 376.2015 277.9821 307 -0.1898563 -0.2083334
Moved 376.2163 256.8659 307 -0.2387363 -0.2083334
Moved 376.2305 236.1295 307 -0.2867372 -0.2083334
Moved 376.2463 220.5381 307 -0.3228285 -0.2083334
Moved 376.2618 195.9929 307 -0.3796461 -0.2083334
Moved 376.2772 180.0014 307 -0.4166633 -0.2083334
Moved 376.2927 162.815 307 -0.4564467 -0.2083334
Ended 376.3075 135.9392 320.2919 -0.5186592 -0.1741463
Accept 376.335 9 odd
Began 376.4739 282 301 -0.1805555 -0.2237656
Stationary 376.4919 282 301 -0.1805555 -0.2237656
Stationary 376.5089 282 301 -0.1805555 -0.2237656
Stationary 376.5273 282 301 -0.1805555 -0.2237656
Stationary 376.5386 282 301 -0.1805555 -0.2237656
Moved 376.5535 262.2137 301 -0.2263572 -0.2237656
Moved 376.5702 248.6906 301 -0.2576606 -0.2237656
Moved 376.5853 230.8521 301 -0.2989535 -0.2237656
Moved 376.6005 215.1449 315.2841 -0.3353126 -0.1870267
Moved 376.6166 189.8673 331.0048 -0.3938257 -0.1465928
Moved 376.6316 176.9443 342.0557 -0.42374 -0.1181697
Moved 376.6465 168.664 353.1147 -0.4429075 -0.0897256
Moved 376.6629 162.6868 366.7108 -0.4567436 -0.05475637
Moved 376.6788 159.7044 379.3303 -0.4636472 -0.02229879
Moved 376.6933 159 391.2365 -0.4652778 0.008324281
Moved 376.7098 159 402.4774 -0.4652778 0.03723592
Moved 376.7271 166.6056 421.2112 -0.4476722 0.08541958
Moved 376.7382 172.3611 439.4236 -0.4343493 0.1322624
Moved 376.7537 177.8536 450.7072 -0.4216352 0.1612838
Moved 376.7696 183.38 461.76 -0.4088426 0.1897119
Moved 376.7847 190.327 472.7233 -0.3927615 0.2179096
Moved 376.8002 195.2969 478.2969 -0.3812572 0.232245
Moved 376.816 203.7193 485.4328 -0.3617608 0.2505987
Moved 376.8315 212.4751 489.2375 -0.3414928 0.2603846
Moved 376.8474 226.7163 489 -0.3085271 0.2597736
Moved 376.8627 239.2728 489 -0.2794611 0.2597736
Moved 376.8791 251.5 489 -0.2511574 0.2597736
Moved 376.8934 263.3262 469.5895 -0.2237819 0.2098495
Moved 376.9077 273.0442 458.6638 -0.2012866 0.1817482
Moved 376.9282 282.0194 438.2816 -0.1805107 0.1293251
Moved 376.9408 285.5974 417.8243 -0.1722281 0.0767085
Moved 376.9564 286 382.8579 -0.1712963 -0.01322562
Moved 376.9708 272.5326 350.0868 -0.2024709 -0.09751347
Moved 376.9857 269.5698 342.1396 -0.2093291 -0.1179536
Moved 377.0016 265.2033 333.4067 -0.2194367 -0.140415
Moved 377.0175 259.4188 327.0641 -0.2328269 -0.1567283
Moved 377.0317 249.8216 321.9108 -0.2550425 -0.1699825
Moved 377.0479 240.2388 319.2111 -0.277225 -0.1769262
Moved 377.0622 227.1416 320 -0.3075425 -0.1748972
Moved 377.0787 206.1253 320 -0.3561913 -0.1748972
Moved 377.0934 185.9106 330.8537 -0.4029848 -0.1469813
Moved 377.1154 166.1616 334.9677 -0.4487 -0.1364001
Stationary 377.1264 166.1616 334.9677 -0.4487 -0.1364001
Moved 377.14 159.2443 336.3511 -0.4647123 -0.1328418
Moved 377.1566 154.8101 336 -0.4749766 -0.1337449
Moved 377.1717 152.3146 336 -0.4807532 -0.1337449
Moved 377.1867 149.6418 337.1791 -0.4869402 -0.1307123
Moved 377.2075 147 337 -0.4930556 -0.1311728
Stationary 377.2188 147 337 -0.4930556 -0.1311728
Moved 377.2316 147 326.4604 -0.4930556 -0.158281
Moved 377.2472 147 324.9084 -0.4930556 -0.1622728
Moved 377.2627 147 321.8461 -0.4930556 -0.1701489
Moved 377.2789 161.6083 319.0783 -0.45924 -0.1772678
Moved 377.3021 193.9243 326.9011 -0.3844345 -0.1571473
Stationary 377.3128 193.9243 326.9011 -0.3844345 -0.1571473
