good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Moved 611.725 263.839 512 -0.222595 0.31893
Moved 611.7399 262 512 -0.2268519 0.31893
Stationary 611.7603 261.6535 512 -0.2276539 0.31893
Moved 611.7724 260.409 512 -0.2305347 0.31893
Ended 611.7866 259.5 512 -0.2326389 0.31893
Candidates 611.984 12 site support for die store sort super door story fire suite due
Began 612.6323 315 425 -0.1041667 0.09516452
Stationary 612.6512 315 425 -0.1041667 0.09516452
Moved 612.6656 328.9299 425 -0.07192145 0.09516452
Moved 612.682 345.4793 425 -0.03361269 0.09516452
Moved 612.6965 367.2259 425 0.01672656 0.09516452
Moved 612.7125 388.6807 420.949 0.06639043 0.08474534
Moved 612.7278 405.0994 416.9901 0.1043966 0.07456285
Moved 612.7429 418.0887 415.5457 0.1344646 0.070848
Moved 612.7592 423.9178 414.5832 0.1479578 0.06837236
Moved 612.7826 438.3386 413 0.1813393 0.06430033
Stationary 612.7947 438.3386 413 0.1813393 0.06430033
Moved 612.8056 442.6648 413 0.1913536 0.06430033
Moved 612.8204 445.6506 413 0.1982653 0.06430033
Moved 612.8361 447.5372 412 0.2026324 0.06172835
Moved 612.8518 449.206 412 0.2064953 0.06172835
Moved 612.8661 450.2042 412 0.2088061 0.06172835
Ended 612.8818 450.2042 412 0.2088061 0.06172835
Accept 612.9081 2 for
Began 613.4493 271 606 -0.2060186 0.5606995
Stationary 613.468 271 606 -0.2060186 0.5606995
Stationary 613.4853 271 606 -0.2060186 0.5606995
Moved 613.4997 284.6135 596.0992 -0.1745057 0.5352346
Moved 613.5135 297.2696 584.7304 -0.1452093 0.5059937
Moved 613.5371 323.3843 554.0197 -0.08475855 0.4270052
Stationary 613.5472 323.3843 554.0197 -0.08475855 0.4270052
Moved 613.5591 338.1516 532.2726 -0.05057499 0.3710713
