a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 2136.283 330 508.3234 -0.06944443 0.3094736
Moved 2136.298 331.7583 510.7583 -0.06537433 0.3157362
Moved 2136.315 332 512.204 -0.06481484 0.3194546
Moved 2136.33 333.5 513.5 -0.06134262 0.3227879
Moved 2136.345 333.7583 514.7583 -0.06074458 0.3260244
Moved 2136.361 334 516.2005 -0.06018519 0.3297337
Moved 2136.376 335.6348 517 -0.05640099 0.33179
Moved 2136.392 337.0715 519.1431 -0.05307515 0.337302
Moved 2136.407 338.5204 520.5204 -0.0497214 0.3408446
Moved 2136.422 339.9523 521.9523 -0.04640669 0.3445274
Moved 2136.439 342.8055 523.4028 -0.039802 0.3482581
Moved 2136.454 343.4891 524.4891 -0.03821974 0.351052
Moved 2136.469 345.8585 525.9293 -0.03273492 0.3547562
Moved 2136.484 348.7283 527.3641 -0.02609198 0.3584467
Moved 2136.499 353.4203 529.6135 -0.01523087 0.3642322
Moved 2136.522 364.7405 533.6851 0.01097351 0.3747044
Stationary 2136.532 364.7405 533.6851 0.01097351 0.3747044
Moved 2136.544 370.5049 535.1262 0.02431681 0.378411
Moved 2136.561 376.0216 536.2043 0.0370871 0.3811839
Moved 2136.576 384.5253 538.4102 0.05677164 0.3868573
Moved 2136.592 391.7147 540.1429 0.07341374 0.3913141
Moved 2136.607 396.7536 541 0.08507778 0.3935184
Moved 2136.623 401.0786 542.0262 0.09508938 0.3961578
Moved 2136.638 405.3945 542 0.1050799 0.3960905
Moved 2136.653 409.7117 543 0.1150734 0.3986624
Moved 2136.668 412.0178 543 0.1204116 0.3986624
Moved 2136.684 417.8028 544.4507 0.1338028 0.4023936
Moved 2136.699 422.5677 545 0.1448327 0.4038065
Moved 2136.715 426.9817 546.3272 0.1550503 0.4072201
Moved 2136.73 430.5496 546.7748 0.1633093 0.4083713
Moved 2136.746 433.4283 547 0.1699729 0.4089505
Moved 2136.761 436.3095 547 0.1766424 0.4089505
Moved 2136.776 438.6007 547 0.1819461 0.4089505
Moved 2136.797 441.3382 548.1691 0.1882828 0.4119574
Moved 2136.809 444.2146 548 0.1949412 0.4115225
Moved 2136.823 446.049 548 0.1991876 0.4115225
Moved 2136.838 447.4919 549 0.2025275 0.4140946
Moved 2136.854 448.9216 549 0.205837 0.4140946
Moved 2136.869 450.3752 549 0.2092018 0.4140946
Moved 2136.884 451.5 549 0.2118056 0.4140946
Stationary 2136.9 451.5 549 0.2118056 0.4140946
Moved 2136.918 452.3662 549 0.2138106 0.4140946
Moved 2136.93 453 549 0.2152778 0.4140946
Stationary 2136.945 453 549 0.2152778 0.4140946
Stationary 2136.963 453 549 0.2152778 0.4140946
Moved 2136.977 454 550.1287 0.2175926 0.4169976
Stationary 2136.991 454 550.1287 0.2175926 0.4169976
Stationary 2137.009 454 550.1287 0.2175926 0.4169976
Stationary 2137.022 454 550 0.2175926 0.4166666
Stationary 2137.038 454 550 0.2175926 0.4166666
Moved 2137.054 444.1947 550 0.1948951 0.4166666
Moved 2137.076 434.4088 550 0.1722426 0.4166666
Stationary 2137.086 434.4088 550 0.1722426 0.4166666
Moved 2137.099 427.4872 550 0.1562205 0.4166666
Moved 2137.117 419.0355 550 0.1366563 0.4166666
Moved 2137.131 407.8343 550 0.1107274 0.4166666
Moved 2137.146 395.1575 550 0.08138298 0.4166666
Moved 2137.163 388.1689 550 0.06520569 0.4166666
Moved 2137.177 381.0061 550 0.04862527 0.4166666
Moved 2137.193 374.764 550 0.03417591 0.4166666
Moved 2137.208 369.7604 550 0.02259364 0.4166666
Moved 2137.224 365.4236 550 0.01255453 0.4166666
Moved 2137.24 359.5728 550 -0.0009889902 0.4166666
Moved 2137.254 354.7984 550 -0.01204068 0.4166666
Moved 2137.271 350.5 550 -0.02199074 0.4166666
Moved 2137.286 347.1439 550 -0.02975946 0.4166666
Moved 2137.302 344.2879 550 -0.03637061 0.4166666
Moved 2137.316 342 550 -0.04166668 0.4166666
Moved 2137.338 339.7929 550 -0.04677568 0.4166666
Stationary 2137.348 339.7929 550 -0.04677568 0.4166666
Moved 2137.362 338.2211 550 -0.0504141 0.4166666
Moved 2137.377 336.8 550 -0.05370358 0.4166666
Moved 2137.393 335.3357 550 -0.05709326 0.4166666
Moved 2137.411 333.9001 550 -0.06041641 0.4166666
Moved 2137.425 333.4582 550 -0.06143932 0.4166666
Stationary 2137.439 333 550 -0.06249999 0.4166666
Moved 2137.454 331.9036 550 -0.06503806 0.4166666
Stationary 2137.47 331.9036 550 -0.06503806 0.4166666
Moved 2137.485 330.626 550 -0.06799529 0.4166666
Stationary 2137.501 331 550 -0.06712963 0.4166666
Moved 2137.517 329.5 550 -0.07060184 0.4166666
