if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 1251.397 620.5851 516.4149 0.6032063 0.3302852
Moved 1251.412 623.4838 512.2743 0.6099162 0.3196354
Moved 1251.428 625.5125 507.9751 0.6146122 0.3085778
Moved 1251.442 627.7821 503.4359 0.619866 0.2969029
Moved 1251.459 629.2158 498.1366 0.6231847 0.2832731
Moved 1251.474 630 491.7402 0.6250001 0.2668215
Moved 1251.49 630 482.3797 0.6250001 0.2427461
Moved 1251.505 630 475.5 0.6250001 0.2250513
Moved 1251.52 630 467.9104 0.6250001 0.2055307
Moved 1251.536 620.3144 461.5429 0.6025796 0.1891534
Moved 1251.552 615.311 454.7733 0.5909978 0.1717418
Moved 1251.571 607.2302 447.1918 0.572292 0.1522423
Moved 1251.583 599.8924 442.7354 0.5553064 0.1407803
Moved 1251.597 592.7457 438.4474 0.5387631 0.1297514
Moved 1251.612 585.494 434.0964 0.5219767 0.1185605
Moved 1251.629 579.317 433.2634 0.5076781 0.116418
Moved 1251.643 574.4477 432.1119 0.4964066 0.1134565
Moved 1251.659 570.1254 432 0.4864013 0.1131687
Moved 1251.674 563.0854 431 0.4701051 0.1105966
Moved 1251.69 557.3912 431 0.4569241 0.1105966
Moved 1251.706 552.6201 431 0.4458798 0.1105966
