id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
2,1x1,0.5,shopping,Standard,64,keyWidth,1.12443,1.72844,0.243675,
2,1x1,0.5,shopping,DTW,64,pixel,22.0075,49.7791,7.01784,
2,1x1,0.5,shopping,DTW,64,keyWidth,0.764149,1.72844,0.243675,
2,1x1,0.5,shopping,Standard,128,pixel,32.4242,49.7791,7.01784,
2,1x1,0.5,shopping,Standard,128,keyWidth,1.12584,1.72844,0.243675,
2,1x1,0.5,shopping,DTW,128,pixel,21.4227,49.7791,7.01784,
2,1x1,0.5,shopping,DTW,128,keyWidth,0.743843,1.72844,0.243675,
2,1x1,0.5,shopping,Standard,256,pixel,32.4357,49.7791,7.01784,
2,1x1,0.5,shopping,Standard,256,keyWidth,1.12624,1.72844,0.243675,
2,1x1,0.5,shopping,DTW,256,pixel,21.1934,49.7791,7.01784,
2,1x1,0.5,shopping,DTW,256,keyWidth,0.735881,1.72844,0.243675,
2,1x1,0.5,do,Standard,16,pixel,47.9717,72.1468,24.1229,
2,1x1,0.5,do,Standard,16,keyWidth,1.66568,2.5051,0.8376,
2,1x1,0.5,do,DTW,16,pixel,34.1966,72.1468,24.1229,
2,1x1,0.5,do,DTW,16,keyWidth,1.18738,2.5051,0.8376,
2,1x1,0.5,do,Standard,32,pixel,47.9737,72.1468,24.1229,
2,1x1,0.5,do,Standard,32,keyWidth,1.66575,2.5051,0.8376,
2,1x1,0.5,do,DTW,32,pixel,33.5062,72.1468,24.1229,
2,1x1,0.5,do,DTW,32,keyWidth,1.16341,2.5051,0.8376,
2,1x1,0.5,do,Standard,64,pixel,47.9761,72.1468,24.1229,
2,1x1,0.5,do,Standard,64,keyWidth,1.66584,2.5051,0.8376,
2,1x1,0.5,do,DTW,64,pixel,33.2116,72.1468,24.1229,
2,1x1,0.5,do,DTW,64,keyWidth,1.15318,2.5051,0.8376,
2,1x1,0.5,do,Standard,128,pixel,47.9771,72.1468,24.1229,
2,1x1,0.5,do,Standard,128,keyWidth,1.66587,2.5051,0.8376,
2,1x1,0.5,do,DTW,128,pixel,33.0783,72.1468,24.1229,
2,1x1,0.5,do,DTW,128,keyWidth,1.14855,2.5051,0.8376,
2,1x1,0.5,do,Standard,256,pixel,47.9764,72.1468,24.1229,
2,1x1,0.5,do,Standard,256,keyWidth,1.66585,2.5051,0.8376,
2,1x1,0.5,do,DTW,256,pixel,33.0156,72.1468,24.1229,
2,1x1,0.5,do,DTW,256,keyWidth,1.14637,2.5051,0.8376,
2,1x1,0.5,not,Standard,16,pixel,17.2321,46.4604,16.9772,
2,1x1,0.5,not,Standard,16,keyWidth,0.598337,1.61321,0.589485,
2,1x1,0.5,not,DTW,16,pixel,16.8246,46.4604,16.9772,
2,1x1,0.5,not,DTW,16,keyWidth,0.584187,1.61321,0.589485,
2,1x1,0.5,not,Standard,32,pixel,16.5843,46.4604,16.9772,
2,1x1,0.5,not,Standard,32,keyWidth,0.575845,1.61321,0.589485,
2,1x1,0.5,not,DTW,32,pixel,14.8588,46.4604,16.9772,
2,1x1,0.5,not,DTW,32,keyWidth,0.51593,1.61321,0.589485,
2,1x1,0.5,not,Standard,64,pixel,16.3731,46.4604,16.9772,
2,1x1,0.5,not,Standard,64,keyWidth,0.568512,1.61321,0.589485,
2,1x1,0.5,not,DTW,64,pixel,14.4484,46.4604,16.9772,
2,1x1,0.5,not,DTW,64,keyWidth,0.501682,1.61321,0.589485,
2,1x1,0.5,not,Standard,128,pixel,16.25,46.4604,16.9772,
2,1x1,0.5,not,Standard,128,keyWidth,0.564234,1.61321,0.589485,
2,1x1,0.5,not,DTW,128,pixel,14.2258,46.4604,16.9772,
2,1x1,0.5,not,DTW,128,keyWidth,0.493953,1.61321,0.589485,
2,1x1,0.5,not,Standard,256,pixel,16.1868,46.4604,16.9772,
2,1x1,0.5,not,Standard,256,keyWidth,0.562043,1.61321,0.589485,
2,1x1,0.5,not,DTW,256,pixel,14.1391,46.4604,16.9772,
2,1x1,0.5,not,DTW,256,keyWidth,0.49094,1.61321,0.589485,
2,1x1,0.5,say,Standard,16,pixel,29.1358,59.8294,10.2965,
2,1x1,0.5,say,Standard,16,keyWidth,1.01166,2.07741,0.357517,
2,1x1,0.5,say,DTW,16,pixel,25.5414,59.8294,10.2965,
2,1x1,0.5,say,DTW,16,keyWidth,0.886856,2.07741,0.357517,
2,1x1,0.5,say,Standard,32,pixel,28.8627,59.8294,10.2965,
