the bathroom is good for reading
the bathroom is good for reading
Basic
List

0.6 0.6
432 388.8
Moved 3040.64 528 545.8907 0.3888889 0.4060975
Moved 3040.67 528.9866 546 0.3911726 0.4063785
Moved 3040.701 529 547 0.3912036 0.4089505
Stationary 3040.732 529 547 0.3912036 0.4089505
Stationary 3040.763 529 547 0.3912036 0.4089505
Moved 3040.793 513.989 526.5573 0.356456 0.3563716
Moved 3040.824 499.1187 500.7175 0.322034 0.2899113
Moved 3040.855 484.7664 466.2993 0.2888111 0.2013868
Moved 3040.885 469.9341 429.8156 0.2544772 0.1075502
Moved 3040.916 460.3382 402.8455 0.2322644 0.03818288
Moved 3040.947 450.4851 370.7687 0.2094562 -0.04431932
Moved 3040.978 444.1378 347.5511 0.1947634 -0.1040351
Moved 3041.009 439 323.5 0.1828703 -0.1658951
Moved 3041.039 431.7294 296.7823 0.1660403 -0.2346134
Moved 3041.07 428.1057 273.6339 0.157652 -0.2941515
Moved 3041.101 425.3514 254.4601 0.1512765 -0.3434669
Moved 3041.131 424 228.7094 0.1481481 -0.4096982
Moved 3041.162 423.1814 219.9071 0.1462532 -0.4323377
Moved 3041.193 421.4206 208.6823 0.1421772 -0.4612083
Moved 3041.224 419.6632 202.3264 0.1381093 -0.4775555
Moved 3041.254 418.2036 197.4072 0.1347305 -0.4902077
Moved 3041.285 414.4384 192.4384 0.1260148 -0.5029879
Moved 3041.316 410.6956 189.6956 0.1173508 -0.5100424
Moved 3041.347 405.8751 189 0.1061922 -0.5118313
Moved 3041.377 392.5 189 0.07523149 -0.5118313
Moved 3041.408 372.1762 221.2797 0.02818574 -0.4288075
Moved 3041.439 354.9115 246.1416 -0.01177902 -0.3648623
Moved 3041.469 339.5 271.5 -0.04745369 -0.2996399
Moved 3041.5 328.3276 288.0086 -0.07331579 -0.2571795
Moved 3041.531 318.2101 303.6499 -0.09673601 -0.2169499
Moved 3041.562 312.3236 315.7054 -0.1103619 -0.1859429
Moved 3041.593 310 325.3397 -0.1157407 -0.1611635
Moved 3041.623 309 339.2313 -0.1180555 -0.1254338
Moved 3041.654 309 354.0602 -0.1180555 -0.08729361
Moved 3041.685 326.68 378.8 -0.07712965 -0.02366274
Moved 3041.716 330.3815 385.7629 -0.06856143 -0.005753835
Moved 3041.746 338.1106 397.6658 -0.05067001 0.0248606
Moved 3041.777 341.3151 405.9453 -0.04325216 0.0461554
Moved 3041.808 344.0836 410.0837 -0.03684342 0.05679958
Moved 3041.838 344.5599 414.5599 -0.03574098 0.06831232
Moved 3041.869 345 418.3277 -0.03472224 0.07800329
Moved 3041.9 346 421.0911 -0.03240739 0.08511084
Moved 3041.931 347.5 423.5 -0.02893518 0.09130646
Moved 3041.961 347 424 -0.0300926 0.09259254
Ended 3041.992 348 425 -0.0277778 0.09516452
Accept 3042.146 0 for
Candidates 3042.146 13 using reasons persons trading respond lesions reading lessons traditions issuing testing strains retains
Began 3043.56 445 416 0.1967593 0.07201634
Stationary 3043.591 445 416 0.1967593 0.07201634
Stationary 3043.621 445 416 0.1967593 0.07201634
Stationary 3043.652 445 416 0.1967593 0.07201634
Moved 3043.683 445 438.5545 0.1967593 0.1300269
Moved 3043.713 445 460.1188 0.1967593 0.1854907
Moved 3043.744 454.4655 483.522 0.2186701 0.2456841
Moved 3043.775 456.1992 500.5975 0.2226834 0.2896027
Moved 3043.806 458.5511 514.7554 0.2281275 0.3260168
Moved 3043.836 460 527.2458 0.2314815 0.3581426
Moved 3043.867 460 537.2352 0.2314815 0.3838354
Moved 3043.898 460 544.8615 0.2314815 0.4034501
Moved 3043.929 460 551.5226 0.2314815 0.4205828
Moved 3043.959 460 557.015 0.2314815 0.4347093
Moved 3043.99 460 561.7772 0.2314815 0.4469576
Moved 3044.021 460 565.3823 0.2314815 0.4562301
Moved 3044.052 460 568.0172 0.2314815 0.4630069
Moved 3044.082 460 570.7843 0.2314815 0.4701242
Moved 3044.113 460 573.5473 0.2314815 0.4772306
Moved 3044.144 460 575.9917 0.2314815 0.4835176
Moved 3044.175 460 577.7534 0.2314815 0.4880488
Moved 3044.205 460 581.5 0.2314815 0.4976851
Moved 3044.236 460 584.2822 0.2314815 0.5048408
Moved 3044.267 460 587.6922 0.2314815 0.5136115
Moved 3044.298 460 591.9186 0.2314815 0.524482
Moved 3044.328 460 595.2277 0.2314815 0.5329928
Moved 3044.359 460 597.7523 0.2314815 0.5394862
Moved 3044.39 460 600.4363 0.2314815 0.5463895
Moved 3044.42 460 602.2014 0.2314815 0.5509293
Moved 3044.451 460 603.5 0.2314815 0.5542694
Moved 3044.482 460 605.1659 0.2314815 0.5585541
Moved 3044.513 450.476 606.3606 0.2094352 0.561627
Moved 3044.543 453 607.2396 0.2152778 0.5638878
Moved 3044.574 452 607.6846 0.2129629 0.5650324
Moved 3044.605 452 608.5 0.2129629 0.5671295
Moved 3044.635 451.0734 609 0.2108179 0.5684156
Moved 3044.666 450.5 609 0.2094908 0.5684156
Expand 3044.666
Moved 3044.697 451 610.0782 0.2106482 0.5711887
Moved 3044.728 449.5 610 0.2071759 0.5709876
Stationary 3044.759 449.5 610 0.2071759 0.5709876
Stationary 3044.789 449.5 610 0.2071759 0.5709876
