I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Moved 3539.865 390.7037 483.9012 0.07107327 0.2466595
Moved 3539.895 385.3191 481.4397 0.05860895 0.2403284
Moved 3539.926 380.3836 480 0.04718433 0.2366254
Moved 3539.957 376.5826 478 0.03838569 0.2314814
Moved 3539.988 375.5 476.5 0.03587961 0.2276234
Moved 3540.018 373.7807 477 0.03189981 0.2289094
Moved 3540.049 372.5 477 0.02893518 0.2289094
Ended 3540.08 372.5 477 0.02893518 0.2289094
Accept 3540.172 0 to
Candidates 3540.172 13 holds hold hills pools looks kills pills old polls gold pulls kinds killed
Began 3541.278 465 425 0.2430555 0.09516452
Moved 3541.308 459.5672 452.6059 0.2304797 0.1661673
Moved 3541.339 442.2204 508.8219 0.1903249 0.3107558
Moved 3541.369 433.9091 564.6816 0.1710859 0.454428
Moved 3541.4 430.5494 600.7595 0.1633088 0.5472209
Moved 3541.431 430 635.928 0.162037 0.6376749
Moved 3541.462 429 667.5006 0.1597223 0.7188801
Moved 3541.492 428 696.5 0.1574074 0.793467
Moved 3541.523 427 714.8932 0.1550926 0.8407747
Moved 3541.554 427 732.348 0.1550926 0.8856686
Moved 3541.585 427 750.2709 0.1550926 0.9317666
Moved 3541.615 427 761.1821 0.1550926 0.9598304
Moved 3541.646 427 770.2114 0.1550926 0.9830537
Moved 3541.677 427 773.5 0.1550926 0.9915122
Moved 3541.708 427 774.1799 0.1550926 0.993261
Ended 3541.738 427 774 0.1550926 0.9927983
Accept 3541.83 1 hold
Began 3543.212 449 472 0.2060185 0.2160493
Stationary 3543.243 449 472 0.2060185 0.2160493
Moved 3543.274 449 491.2383 0.2060185 0.2655305
Moved 3543.304 464.5383 513.0766 0.2419868 0.3216989
Moved 3543.335 474.7284 540.1481 0.2655749 0.3913274
Moved 3543.366 480.2019 560.7068 0.2782452 0.4442046
Moved 3543.396 483.8548 574.1289 0.286701 0.4787266
Moved 3543.427 486.5 585 0.2928241 0.5066872
Moved 3543.458 487 595.0814 0.2939814 0.5326166
Moved 3543.489 488 602.3414 0.2962963 0.5512896
Moved 3543.52 488 608.0803 0.2962963 0.5660501
