the bathroom is good for reading
the bathroom is good for reading
FixStart
List

0.6 0.6
432 388.8
Moved 3880.855 449.2471 368.2704 0.2065904 -0.05074497
Moved 3880.885 445.5 389.5 0.1979166 0.003857946
Moved 3880.916 441.1143 406.6001 0.1877645 0.04783975
Moved 3880.947 437.2976 424.9169 0.1789296 0.09495083
Moved 3880.978 434.5334 440.333 0.172531 0.1346013
Moved 3881.008 434 448.6929 0.1712963 0.156103
Moved 3881.039 433 453.6494 0.1689814 0.1688513
Moved 3881.07 433 457.4093 0.1689814 0.1785217
Ended 3881.1 433 458 0.1689814 0.180041
Accept 3881.223 0 for
Candidates 3881.223 13 reading respond testing trading wedding eating destiny feeding which rating treating headline washing
Began 3881.653 307 434 -0.1226852 0.1183127
Stationary 3881.684 307 434 -0.1226852 0.1183127
Stationary 3881.714 307 434 -0.1226852 0.1183127
Moved 3881.745 340.7085 434 -0.04465634 0.1183127
Moved 3881.776 396.4445 434 0.08436243 0.1183127
Moved 3881.807 469.3289 454.7215 0.2530761 0.1716087
Moved 3881.837 533.6094 460.9421 0.4018737 0.1876081
Moved 3881.868 573.6182 461 0.4944866 0.1877571
Moved 3881.899 615.6848 461 0.5918629 0.1877571
Moved 3881.929 643.3904 454.9389 0.6559962 0.1721678
Moved 3881.96 667.1802 452.364 0.7110652 0.1655451
Moved 3881.991 678.1425 450.9525 0.7364409 0.1619149
Moved 3882.021 687.4844 448.1719 0.7580658 0.154763
Moved 3882.052 693.597 447.403 0.7722154 0.1527853
Moved 3882.083 697.7281 447 0.7817781 0.1517489
Moved 3882.114 699.6619 445.6691 0.7862545 0.1483257
Moved 3882.144 702.5 445 0.792824 0.1466049
Ended 3882.175 704 444 0.7962964 0.1440329
Accept 3882.267 0 reading
PhraseEnd 3882.267
