the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Moved 2334.808 421 103.8467 0.1412037 -0.7308471
Ended 2334.839 421 103.8467 0.1412037 -0.7308471
Candidates 2334.931 13 in on inn un him gun john job ion fun iv pin upon
Began 2335.331 282 249 -0.1805555 -0.3575103
Stationary 2335.361 282 249 -0.1805555 -0.3575103
Stationary 2335.392 282 249 -0.1805555 -0.3575103
Stationary 2335.423 282 249 -0.1805555 -0.3575103
Stationary 2335.453 282 249 -0.1805555 -0.3575103
Moved 2335.484 293.6693 263.0039 -0.1535434 -0.321492
Moved 2335.515 302.6338 279.2675 -0.1327922 -0.2796618
Moved 2335.545 312.2434 294.0543 -0.1105476 -0.2416301
Moved 2335.576 323.4517 313.2905 -0.08460248 -0.1921541
Moved 2335.607 335.9694 331.954 -0.05562648 -0.1441512
Moved 2335.638 346.0804 346.8007 -0.03222128 -0.1059655
Moved 2335.668 354.5754 356.4339 -0.01255686 -0.0811886
Moved 2335.699 362.441 366.1614 0.005650421 -0.05616922
Moved 2335.73 367.1736 372.1736 0.01660546 -0.04070588
Moved 2335.761 369 375.4591 0.02083332 -0.03225546
Ended 2335.791 371 376 0.025463 -0.03086435
Accept 2335.853 1 on
Began 2336.344 388 246 0.06481478 -0.3652264
Stationary 2336.375 388 246 0.06481478 -0.3652264
Stationary 2336.406 388 246 0.06481478 -0.3652264
Stationary 2336.437 388 246 0.06481478 -0.3652264
Stationary 2336.467 388 246 0.06481478 -0.3652264
Moved 2336.498 375.2138 246 0.03521721 -0.3652264
Moved 2336.529 364.4588 246 0.01032134 -0.3652264
Moved 2336.559 349.5882 246 -0.02410139 -0.3652264
Moved 2336.59 328.9762 246 -0.07181441 -0.3652264
Moved 2336.621 307.4365 246 -0.1216748 -0.3652264
Moved 2336.652 286.8099 246 -0.1694216 -0.3652264
Moved 2336.682 270.0599 246 -0.2081946 -0.3652264
Moved 2336.713 252.0156 246 -0.249964 -0.3652264
Moved 2336.744 239.236 246 -0.2795462 -0.3652264
Moved 2336.775 232.0934 246 -0.29608 -0.3652264
Moved 2336.805 228.0485 246 -0.3054432 -0.3652264
Moved 2336.836 225.5 246 -0.3113426 -0.3652264
Moved 2336.867 226 258.7454 -0.3101852 -0.332445
Moved 2336.897 236.4803 273.1514 -0.2859252 -0.2953926
Moved 2336.928 251.4774 291.4774 -0.2512097 -0.2482577
Moved 2336.959 267.7708 305.809 -0.2134935 -0.2113966
Moved 2336.99 289.6822 323.0117 -0.1627727 -0.1671511
Moved 2337.02 314.8831 340.8241 -0.1044372 -0.1213373
Moved 2337.051 333.5382 350.879 -0.06125406 -0.0954759
Moved 2337.082 350.4768 360.2861 -0.02204438 -0.07128076
Moved 2337.113 363.708 365.7416 0.008583367 -0.05724911
Moved 2337.143 375.1366 370.5342 0.03503849 -0.04492245
Moved 2337.174 385.1922 374.3974 0.0583154 -0.03498619
Moved 2337.205 390.5265 377.2632 0.07066309 -0.02761511
Moved 2337.235 393.8072 378 0.07825743 -0.02572024
Moved 2337.266 396.6733 379 0.08489192 -0.02314815
Moved 2337.297 398 379 0.08796295 -0.02314815
Moved 2337.328 399.5 379 0.09143522 -0.02314815
Moved 2337.358 399 379 0.09027779 -0.02314815
Stationary 2337.389 399 379 0.09027779 -0.02314815
Stationary 2337.42 399 379 0.09027779 -0.02314815
Moved 2337.45 387.5467 380 0.06376554 -0.02057613
Moved 2337.481 377.7477 380 0.0410827 -0.02057613
Moved 2337.512 364.315 380 0.009988547 -0.02057613
Moved 2337.543 350.9501 380 -0.02094885 -0.02057613
Moved 2337.573 340.3733 380 -0.04543215 -0.02057613
Moved 2337.604 330.1711 380 -0.0690483 -0.02057613
Moved 2337.635 323.8652 380 -0.08364528 -0.02057613
Moved 2337.666 319.2828 380 -0.09425282 -0.02057613
Moved 2337.696 317.94 380 -0.09736111 -0.02057613
Moved 2337.727 317 380 -0.09953702 -0.02057613
Moved 2337.758 328.6992 380 -0.07245546 -0.02057613
Moved 2337.789 363.9708 380 0.009191631 -0.02057613
Moved 2337.819 398.8115 380 0.08984137 -0.02057613
Moved 2337.85 426.725 380 0.154456 -0.02057613
Moved 2337.881 448.3687 380 0.2045572 -0.02057613
Moved 2337.911 461.5592 382 0.2350906 -0.01543218
Moved 2337.942 472.0286 383.7571 0.2593254 -0.01091278
Moved 2337.973 478.6278 384 0.2746015 -0.01028807
Moved 2338.004 482.1321 384 0.2827133 -0.01028807
Moved 2338.034 486.042 384 0.2917639 -0.01028807
