if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Began 431.7398 386 373 0.06018519 -0.03858032
Stationary 431.7567 386 373 0.06018519 -0.03858032
Stationary 431.7706 386 373 0.06018519 -0.03858032
Stationary 431.7884 386 373 0.06018519 -0.03858032
Moved 431.8026 386 383.2825 0.06018519 -0.01213341
Moved 431.8184 375.8417 401.5444 0.03667066 0.03483631
Moved 431.8349 371.2953 426.7963 0.02614657 0.09978475
Ended 431.8493 368.9881 468.3923 0.0208058 0.2067701
Accept 431.8932 0 were
Began 432.7014 414 214 0.125 -0.4475308
Stationary 432.7232 414 214 0.125 -0.4475308
Stationary 432.7336 414 214 0.125 -0.4475308
Stationary 432.744 414 214 0.125 -0.4475308
Stationary 432.7563 414 214 0.125 -0.4475308
Stationary 432.7724 414 214 0.125 -0.4475308
Stationary 432.789 414 214 0.125 -0.4475308
Stationary 432.8045 414 214 0.125 -0.4475308
Moved 432.8197 414 228.3986 0.125 -0.4104976
Moved 432.8368 414 237.0435 0.125 -0.3882627
Moved 432.852 414 247.1144 0.125 -0.3623602
Moved 432.8667 414 260.876 0.125 -0.326965
Moved 432.8812 414 273.8254 0.125 -0.2936588
Moved 432.897 414 285.3434 0.125 -0.2640345
Moved 432.9123 422.3954 298.9935 0.1444339 -0.2289264
Moved 432.9279 422.5 306 0.144676 -0.2109054
Moved 432.9435 426.3007 319.6691 0.1534739 -0.1757483
Moved 432.9645 429.439 332.9755 0.1607384 -0.141524
Moved 432.9763 432.6509 341.2546 0.1681734 -0.1202301
Moved 432.9896 435.1648 347.3297 0.1739926 -0.1046049
Moved 433.0051 436.5 354.5 0.1770833 -0.08616254
Moved 433.0207 440.8727 365.7029 0.1872053 -0.05734855
Moved 433.0365 443.793 374.379 0.1939652 -0.03503336
Moved 433.0508 446.0125 383.0377 0.1991031 -0.0127633
Moved 433.0673 447.9494 392.6456 0.2035865 0.01194844
Moved 433.084 450.7758 399.9396 0.2101293 0.03070894
Moved 433.0969 453.446 408.7073 0.2163102 0.05325961
Moved 433.1129 455.254 418.7783 0.2204954 0.07916215
Moved 433.1296 459.3896 431.5582 0.2300685 0.1120324
Moved 433.1434 461.1442 442.0092 0.23413 0.1389123
Moved 433.1591 463.3133 451.4097 0.2391511 0.1630907
Moved 433.1747 466.2867 464.1469 0.2460341 0.1958511
Moved 433.191 469.1662 476.7479 0.2526996 0.2282609
Moved 433.2124 473.9431 496.801 0.2637573 0.279838
Stationary 433.2233 473.9431 496.801 0.2637573 0.279838
Moved 433.235 476.8057 506.8198 0.2703834 0.3056065
Moved 433.2513 479.8376 514.1881 0.2774019 0.3245578
Moved 433.2677 481.9277 520.7831 0.28224 0.3415202
Moved 433.2839 484.7816 527.954 0.2888463 0.359964
Moved 433.2978 489.4903 539.8106 0.299746 0.3904593
Moved 433.3126 492.5366 547.3416 0.3067977 0.409829
Moved 433.3286 494.7144 553.8576 0.3118389 0.4265884
Moved 433.344 497.3162 558.4743 0.3178615 0.4384626
Moved 433.3591 497.5954 561.1908 0.3185079 0.4454495
Moved 433.3751 498 563.5314 0.3194444 0.4514695
Moved 433.3911 498 565.1135 0.3194444 0.4555386
Moved 433.4059 498 566.55 0.3194444 0.4592336
Moved 433.4199 498 568.9896 0.3194444 0.4655082
Moved 433.4356 498 569.7178 0.3194444 0.4673811
Moved 433.4552 491.8562 570 0.3052227 0.4681069
Moved 433.4672 488.3665 570 0.2971447 0.4681069
Moved 433.4821 483.6776 570 0.2862907 0.4681069
Moved 433.4979 476.6597 570 0.2700455 0.4681069
Moved 433.5139 468.0312 570 0.2500721 0.4681069
Moved 433.5305 456.5962 570 0.2236023 0.4681069
Moved 433.5438 446.4969 570 0.2002242 0.4681069
