that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Moved 3218.243 370 258.5 0.02314816 -0.3330762
Moved 3218.26 370 279.6602 0.02314816 -0.2786519
Moved 3218.274 370 295.412 0.02314816 -0.238138
Moved 3218.29 370 303.5064 0.02314816 -0.217319
Moved 3218.31 370 320.6446 0.02314816 -0.1732392
Moved 3218.322 379.7679 330.7679 0.04575909 -0.1472019
Moved 3218.336 377.8482 338.9375 0.04131526 -0.1261896
Moved 3218.352 378 343.8759 0.04166663 -0.1134881
Moved 3218.367 378 349.9393 0.04166663 -0.09789266
Moved 3218.383 378 353.3486 0.04166663 -0.08912396
Moved 3218.398 378 355.389 0.04166663 -0.08387601
Moved 3218.413 379 358.4124 0.04398147 -0.07609983
Moved 3218.429 379 360.1393 0.04398147 -0.07165806
Ended 3218.445 379 361 0.04398147 -0.06944452
Accept 3218.487 8 odd
Began 3218.749 398 223 0.08796295 -0.4243828
Stationary 3218.768 398 223 0.08796295 -0.4243828
Stationary 3218.783 398 223 0.08796295 -0.4243828
Stationary 3218.799 398 223 0.08796295 -0.4243828
Stationary 3218.813 398 223 0.08796295 -0.4243828
Stationary 3218.829 398 223 0.08796295 -0.4243828
Moved 3218.844 392.4257 229.9678 0.07505953 -0.4064616
Moved 3218.862 388.2492 235.6261 0.06539176 -0.3919082
Moved 3218.875 384.1141 239.886 0.05581965 -0.3809517
Moved 3218.891 381.5346 243.4653 0.04984866 -0.3717455
Moved 3218.907 378.6436 247.5347 0.04315645 -0.3612791
Moved 3218.922 375.7646 251.2354 0.03649225 -0.351761
Moved 3218.936 371.8276 254.115 0.0273786 -0.3443544
Moved 3218.954 366.0492 259.9508 0.01400272 -0.3293448
Moved 3218.969 362.2097 264.7903 0.005114973 -0.3168973
Moved 3218.99 353.757 272.2083 -0.01445139 -0.2978181
Moved 3219 345.5975 276.4415 -0.03333911 -0.2869305
Moved 3219.014 334.7137 282.6035 -0.0585332 -0.2710815
Moved 3219.03 324.4565 288.4534 -0.08227652 -0.2560355
Moved 3219.046 306.9752 293.2066 -0.1227426 -0.2438102
Moved 3219.061 295.2717 297.7407 -0.1498341 -0.2321485
Moved 3219.077 280.5 301.5 -0.1840278 -0.2224794
Moved 3219.092 265.6247 304.2751 -0.2184613 -0.2153419
Moved 3219.107 247.4699 308.6325 -0.2604864 -0.2041346
Moved 3219.122 231.4807 313.3038 -0.2974983 -0.1921198
Moved 3219.137 216.0255 317.2657 -0.3332742 -0.1819297
Moved 3219.155 202 323 -0.3657407 -0.1671811
Moved 3219.168 190.2567 327.89 -0.3929244 -0.1546039
