electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1386.824 399.1063 252.1063 0.09052376 -0.3495208
Moved 1386.854 396.1818 246.1818 0.08375426 -0.3647589
Moved 1386.885 393.3017 241.6035 0.07708728 -0.3765342
Moved 1386.916 391.8377 237.6754 0.07369845 -0.3866374
Moved 1386.947 390 233.9186 0.06944448 -0.3963
Moved 1386.977 388.0416 231.0415 0.06491105 -0.4037
Moved 1387.008 387.1801 228.1802 0.06291697 -0.4110593
Moved 1387.039 387 225.6024 0.06250004 -0.4176892
Moved 1387.069 387 220.7322 0.06250004 -0.4302156
Moved 1387.1 387 217.8711 0.06250004 -0.4375744
Moved 1387.131 387 216.2441 0.06250004 -0.441759
Moved 1387.162 386 216 0.06018519 -0.4423869
Moved 1387.192 384.6078 216 0.05696257 -0.4423869
Moved 1387.223 378.1662 242.5013 0.04205137 -0.374225
Moved 1387.254 372.4553 265.7238 0.02883166 -0.3144966
Moved 1387.285 365.6953 289.5665 0.01318355 -0.2531725
Moved 1387.315 359.4501 310.6497 -0.001272907 -0.1989465
Moved 1387.346 351.8064 338.9785 -0.01896659 -0.1260841
Moved 1387.377 343.2122 359.4341 -0.03886069 -0.07347193
Moved 1387.407 331.6775 385.4192 -0.06556138 -0.006637926
Moved 1387.438 324.8426 401.3148 -0.08138283 0.03424574
Moved 1387.469 317.8054 413.3243 -0.09767263 0.06513458
Moved 1387.5 309.1111 433.7036 -0.1177983 0.1175504
Moved 1387.53 300.485 451.03 -0.1377663 0.1621142
Moved 1387.561 294.5868 464.5331 -0.1514196 0.1968443
Moved 1387.592 288.4618 475.3455 -0.1655977 0.2246539
Moved 1387.623 279.5811 492.8378 -0.1861548 0.2696443
Moved 1387.653 273.9469 505.1061 -0.1991969 0.3011988
Moved 1387.683 270.327 513.3459 -0.2075763 0.3223917
Moved 1387.715 267.5676 518.8649 -0.213964 0.3365865
Moved 1387.746 265.697 523.303 -0.218294 0.3480015
Moved 1387.776 262.8434 526.1566 -0.2248995 0.3553408
Moved 1387.807 260.343 528 -0.2306876 0.3600822
Moved 1387.838 259 529 -0.2337963 0.3626543
Moved 1387.869 255.5944 530 -0.2416797 0.3652262
Moved 1387.899 254.6282 530 -0.2439163 0.3652262
Moved 1387.93 253.8377 530 -0.2457461 0.3652262
Moved 1387.961 252.6255 530 -0.2485521 0.3652262
Moved 1387.991 251.7506 530 -0.2505774 0.3652262
Moved 1388.022 250.7513 530 -0.2528905 0.3652262
Moved 1388.053 249.8281 530 -0.2550276 0.3652262
Stationary 1388.084 249.8281 530 -0.2550276 0.3652262
Moved 1388.114 248.885 530 -0.2572107 0.3652262
Stationary 1388.145 248.885 530 -0.2572107 0.3652262
Stationary 1388.176 248.885 530 -0.2572107 0.3652262
Stationary 1388.207 249 530 -0.2569445 0.3652262
Moved 1388.237 249 525.4718 -0.2569445 0.3535796
Moved 1388.268 262.6405 504.1292 -0.2253693 0.2986861
Moved 1388.299 276.8326 470.9471 -0.1925171 0.2133414
