I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Stationary 1815.662 259 564 -0.2337963 0.4526748
Stationary 1815.693 259 564 -0.2337963 0.4526748
Stationary 1815.723 259 564 -0.2337963 0.4526748
Stationary 1815.754 259 564 -0.2337963 0.4526748
Moved 1815.785 259 556.7875 -0.2337963 0.4341241
Moved 1815.815 266.7282 553.896 -0.2159069 0.4266871
Moved 1815.846 268 550.0071 -0.212963 0.416685
Moved 1815.877 270.8608 546.2784 -0.2063407 0.4070945
Moved 1815.907 276.7172 537.4243 -0.1927844 0.3843215
Moved 1815.938 280.889 530.5183 -0.1831273 0.3665593
Moved 1815.969 293.8636 510.791 -0.1530937 0.3158204
Moved 1816 303.1028 495.3458 -0.1317066 0.2760952
Moved 1816.03 317.473 467.6329 -0.09844223 0.2048172
Moved 1816.061 333.7849 437.8943 -0.0606831 0.128329
Moved 1816.092 350 406 -0.02314816 0.04629618
Moved 1816.123 362.0545 383.1547 0.004755755 -0.01246221
Moved 1816.153 366.7928 371.1125 0.0157242 -0.04343504
Moved 1816.184 377.7249 349.5502 0.04102985 -0.09889343
Moved 1816.215 387.861 333.6738 0.06449292 -0.139728
Moved 1816.245 399.0137 314.976 0.09030947 -0.187819
Moved 1816.276 406.6147 301.6422 0.1079044 -0.2221137
Moved 1816.307 414.2169 290.3052 0.1255022 -0.2512728
Moved 1816.338 421.5813 278.2249 0.1425493 -0.2823434
Moved 1816.368 428.2704 263.3239 0.1580334 -0.320669
Moved 1816.399 433.0111 255.9889 0.1690071 -0.3395348
Moved 1816.43 436.7615 249.3578 0.1776886 -0.35659
Moved 1816.461 440.9021 244.0979 0.1872734 -0.3701186
Moved 1816.491 444.3259 237.3483 0.1951988 -0.3874788
Moved 1816.522 447.2006 233.7993 0.2018533 -0.3966067
Moved 1816.553 447 232.5 0.2013889 -0.3999486
Moved 1816.583 447 232 0.2013889 -0.4012346
Stationary 1816.614 447 232 0.2013889 -0.4012346
Moved 1816.645 432.4997 243.0006 0.1678233 -0.3729409
Moved 1816.676 419.9139 248.4778 0.1386896 -0.3588535
Moved 1816.706 400.7755 258.9854 0.09438773 -0.3318277
Moved 1816.737 383.3312 266.223 0.05400737 -0.3132126
Moved 1816.768 365.555 271.489 0.01285871 -0.2996682
Moved 1816.798 353.8532 275.0367 -0.01422867 -0.2905435
Moved 1816.829 342.3597 277.91 -0.04083395 -0.2831532
Moved 1816.86 332.6552 279.7816 -0.06329805 -0.2783396
Moved 1816.891 323.1039 281 -0.08540754 -0.2752058
Moved 1816.921 313.4662 282 -0.1077172 -0.2726338
Moved 1816.952 303.8465 282 -0.129985 -0.2726338
Moved 1816.983 295.2264 282 -0.1499388 -0.2726338
Moved 1817.014 288.5116 282 -0.1654824 -0.2726338
Moved 1817.044 282.2718 282 -0.1799263 -0.2726338
Moved 1817.075 276.512 282 -0.1932594 -0.2726338
Moved 1817.106 273.1644 282 -0.2010083 -0.2726338
Moved 1817.136 269.3471 282 -0.2098446 -0.2726338
Moved 1817.167 266.475 282 -0.2164931 -0.2726338
Moved 1817.198 264.5 282 -0.2210648 -0.2726338
Moved 1817.229 262.0998 282 -0.2266208 -0.2726338
Moved 1817.259 260.2237 283.7763 -0.2309637 -0.268065
Moved 1817.29 257.3487 290.9538 -0.2376187 -0.2496045
Moved 1817.321 254.5 305 -0.244213 -0.2134774
Moved 1817.351 254 328.7129 -0.2453704 -0.1524875
Moved 1817.382 254 369.3372 -0.2453704 -0.04800113
Moved 1817.413 254 400.2772 -0.2453704 0.03157717
Moved 1817.444 262.6531 426.3616 -0.22534 0.09866656
Moved 1817.474 263.2057 453.8511 -0.2240609 0.16937
Moved 1817.505 264 472.3876 -0.2222222 0.2170462
Moved 1817.536 265.943 493.6581 -0.2177245 0.2717544
Moved 1817.566 267 506.5 -0.2152778 0.3047839
Moved 1817.597 269.3795 519.8977 -0.2097696 0.3392429
Moved 1817.628 270 532.2955 -0.2083333 0.3711302
Moved 1817.659 271 542.5378 -0.2060186 0.3974738
Moved 1817.689 273 551.0027 -0.2013889 0.4192455
Moved 1817.72 274 557.5393 -0.199074 0.4360578
Moved 1817.751 275 561.406 -0.1967592 0.446003
Ended 1817.781 275 562 -0.1967592 0.4475308
Candidates 1817.874 13 presence preference preserve partner present december perfect passenger patience offense reference practice recent
Began 1818.611 398 417 0.08796295 0.0745884
Moved 1818.642 403.7118 417 0.1011846 0.0745884
Moved 1818.672 426.0608 417 0.1529186 0.0745884
Moved 1818.703 453.9579 417 0.2174953 0.0745884
Moved 1818.734 494.9594 424.864 0.312406 0.09481469
Moved 1818.765 529.7635 427.7303 0.3929711 0.1021869
Moved 1818.795 564.3151 428 0.4729516 0.1028806
Ended 1818.826 584 428 0.5185185 0.1028806
Accept 1818.918 0 presence
Began 1819.44 563 391 0.4699074 0.007715971
Stationary 1819.471 563 391 0.4699074 0.007715971
Moved 1819.502 582.6222 391 0.5153291 0.007715971
Moved 1819.532 606.2135 391 0.5699386 0.007715971
Moved 1819.563 632.8203 391 0.6315284 0.007715971
Moved 1819.594 667.088 391 0.7108518 0.007715971
Ended 1819.625 670 391 0.7175926 0.007715971
PhraseEnd 1819.686
