is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 4610.437 282 205.6707 -0.1805555 -0.4689541
Stationary 4610.468 282 206 -0.1805555 -0.4681071
Stationary 4610.499 282 206 -0.1805555 -0.4681071
Moved 4610.529 275.5 216.5 -0.1956018 -0.4411008
Moved 4610.56 266.7432 233.5779 -0.2158723 -0.3971763
Moved 4610.59 259.5 248.5 -0.2326389 -0.3587964
Moved 4610.621 253.3685 263.7103 -0.2468322 -0.3196751
Moved 4610.652 245.9305 280.4956 -0.2640499 -0.2765031
Moved 4610.683 241.1853 292.6295 -0.2750341 -0.2452946
Moved 4610.713 237.0951 301.8099 -0.2845021 -0.2216824
Moved 4610.744 231.5857 311.8286 -0.2972553 -0.1959143
Moved 4610.775 226.5047 321.9906 -0.3090169 -0.1697773
Moved 4610.806 221.2081 331.3757 -0.3212776 -0.1456386
Moved 4610.836 216.6601 337.6798 -0.3318053 -0.1294244
Moved 4610.867 210.8596 343.7106 -0.3452325 -0.1139131
Moved 4610.898 204.7699 351.3452 -0.359329 -0.09427679
Moved 4610.929 198.6758 356.9864 -0.3734358 -0.07976759
Moved 4610.959 192.394 363.606 -0.3879768 -0.06274188
Moved 4610.99 186.5907 369.4093 -0.4014104 -0.04781566
Moved 4611.021 180.9853 375.0147 -0.4143859 -0.03339838
Moved 4611.052 177.5 378.5 -0.4224537 -0.02443423
Moved 4611.083 172.9172 385.1656 -0.433062 -0.007290192
Moved 4611.113 169.3268 389.6732 -0.4413732 0.004303544
Moved 4611.144 167.1199 395.7603 -0.4464818 0.0199595
Moved 4611.175 166 399.4303 -0.4490741 0.02939887
Moved 4611.206 164.0266 402.9734 -0.4536421 0.03851176
Moved 4611.236 164 406.1855 -0.4537037 0.04677344
Moved 4611.267 164 408.7343 -0.4537037 0.05332876
Moved 4611.298 164 412.2855 -0.4537037 0.06246252
Moved 4611.329 164 417.5257 -0.4537037 0.07594053
Moved 4611.359 171.6818 424.2922 -0.4359216 0.09334411
Moved 4611.39 183.2027 436.5621 -0.409253 0.1249025
Moved 4611.42 198.0825 447.902 -0.3748091 0.1540689
Moved 4611.451 217.5029 458.6127 -0.3298544 0.1816171
Moved 4611.482 235.621 466.8578 -0.2879143 0.2028235
Moved 4611.513 254.4842 475.991 -0.2442496 0.2263142
Moved 4611.543 270.1755 481.0702 -0.207927 0.2393779
Moved 4611.574 282.3008 486.1504 -0.1798593 0.2524444
Moved 4611.605 290.5359 490.6906 -0.1607966 0.2641219
Moved 4611.636 301.5639 498.1729 -0.1352687 0.2833665
Moved 4611.667 309.7981 503.899 -0.116208 0.2980942
Moved 4611.697 316.4847 508.9898 -0.1007298 0.3111877
Moved 4611.728 319.7413 512.7413 -0.09319136 0.3208366
Moved 4611.759 324.5944 516.5944 -0.08195743 0.3307469
Moved 4611.79 327.8432 519.8431 -0.07443711 0.3391026
Moved 4611.82 332.7662 522.3831 -0.06304125 0.3456354
Moved 4611.851 341.7048 526.2349 -0.04234999 0.3555424
Moved 4611.882 354.9171 530.1834 -0.01176606 0.365698
Moved 4611.913 370.3728 531 0.02401104 0.3677982
Moved 4611.943 383.3466 531 0.05404303 0.3677982
Moved 4611.974 395.0324 531 0.08109362 0.3677982
Moved 4612.005 413.484 519.758 0.1238055 0.3388836
Moved 4612.036 426.7632 514.1184 0.1545445 0.3243786
Moved 4612.066 437.692 508.654 0.1798426 0.310324
Moved 4612.097 445.2569 505.3716 0.197354 0.3018816
