want to join us for lunch
want to join us for lunch
FixStart
List

0.6 0.6
432 388.8
Moved 3467.325 584.5 572 0.5196759 0.4732509
Moved 3467.356 575.8679 580.1762 0.4996941 0.4942802
Moved 3467.387 568.5892 587.4108 0.4828453 0.5128878
Moved 3467.418 563.8724 592.5638 0.4719269 0.5261413
Moved 3467.448 560.9917 595.0083 0.4652585 0.5324287
Moved 3467.479 558.2218 597.7782 0.4588468 0.5395529
Moved 3467.51 555.4547 599 0.4524415 0.5426954
Moved 3467.541 553.6871 600 0.4483497 0.5452674
Moved 3467.571 552.2625 601 0.4450521 0.5478393
Moved 3467.602 549.5 601 0.4386574 0.5478393
Moved 3467.633 547.7303 601 0.434561 0.5478393
Moved 3467.664 546.6404 601 0.4320379 0.5478393
Moved 3467.694 545.9468 601 0.4304325 0.5478393
Moved 3467.725 544.7599 602.2401 0.4276851 0.5510288
Moved 3467.756 542.9818 602 0.423569 0.5504114
Moved 3467.786 541.6404 602 0.4204639 0.5504114
Moved 3467.817 540.3772 602 0.4175398 0.5504114
Moved 3467.848 538.9993 602 0.4143503 0.5504114
Moved 3467.878 537.2286 602 0.4102515 0.5504114
Moved 3467.909 534.8633 592.7266 0.4047761 0.52656
Moved 3467.94 531.1086 583.2171 0.3960847 0.5021015
Moved 3467.97 528.2889 573.1556 0.3895578 0.4762232
Moved 3468.001 524.5262 559.631 0.3808476 0.4414376
Moved 3468.032 522.0762 548.3807 0.3751764 0.4125018
Moved 3468.063 518.3126 530.5012 0.3664643 0.3665153
Moved 3468.094 515.5399 512.7791 0.360046 0.3209339
Moved 3468.124 512.7895 495.5265 0.3536794 0.2765599
Moved 3468.155 511.3637 475.5461 0.350379 0.2251701
