I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Began 1440.732 164 470 -0.4537037 0.2109053
Stationary 1440.763 164 470 -0.4537037 0.2109053
Stationary 1440.794 164 470 -0.4537037 0.2109053
Moved 1440.824 174.4395 470 -0.4295381 0.2109053
Moved 1440.855 197.2881 470 -0.3766479 0.2109053
Moved 1440.886 225.429 470 -0.3115069 0.2109053
Moved 1440.917 249.5615 470 -0.2556446 0.2109053
Moved 1440.947 269.2674 470 -0.2100292 0.2109053
Moved 1440.978 282.4843 462.825 -0.1794344 0.1924511
Moved 1441.009 293.2839 458.2387 -0.1544354 0.1806551
Moved 1441.039 301.2663 455.3669 -0.1359577 0.1732687
Moved 1441.07 305.1565 452.8435 -0.1269525 0.1667785
Moved 1441.101 308.0774 452 -0.1201912 0.164609
Moved 1441.132 310.9484 451 -0.1135453 0.162037
Moved 1441.162 312.8167 450 -0.1092206 0.1594649
Moved 1441.193 314.1491 450 -0.1061363 0.1594649
Moved 1441.224 315.5 449 -0.1030092 0.156893
Moved 1441.255 316.2492 449 -0.101275 0.156893
Moved 1441.285 317 448 -0.09953702 0.1543209
Ended 1441.316 317 448 -0.09953702 0.1543209
Accept 1441.377 0 meet
Began 1441.838 329 412 -0.07175927 0.06172835
Stationary 1441.869 329 412 -0.07175927 0.06172835
Stationary 1441.9 329 412 -0.07175927 0.06172835
Moved 1441.931 329 433.6961 -0.07175927 0.117531
Moved 1441.961 329 445.6117 -0.07175927 0.1481781
Moved 1441.992 329 450.7671 -0.07175927 0.1614379
Moved 1442.023 329 458.9485 -0.07175927 0.1824806
Moved 1442.053 329 464.9652 -0.07175927 0.1979557
Moved 1442.084 329 477.256 -0.07175927 0.229568
Moved 1442.115 329 491.6413 -0.07175927 0.2665671
Moved 1442.146 329 505.5 -0.07175927 0.3022119
Moved 1442.176 340.3459 515.6918 -0.04549558 0.3284254
Moved 1442.207 344.0445 527.1781 -0.03693397 0.3579683
Moved 1442.238 347 533.8333 -0.0300926 0.3750856
Moved 1442.269 349 537.902 -0.02546296 0.3855503
Moved 1442.299 350 542.6496 -0.02314816 0.3977613
Moved 1442.33 352.1891 545.1891 -0.01808067 0.4042929
Moved 1442.361 353 547.0698 -0.01620372 0.40913
Moved 1442.391 354 550 -0.01388888 0.4166666
Moved 1442.422 355 552.8781 -0.01157408 0.4240689
Moved 1442.453 355.7548 555 -0.00982687 0.4295266
Moved 1442.484 356 555.8964 -0.009259283 0.4318323
Moved 1442.514 356 557.2985 -0.009259283 0.4354384
Moved 1442.545 357 559.3036 -0.006944438 0.4405956
Moved 1442.576 358 560 -0.004629641 0.4423867
Moved 1442.607 359.9885 561 -2.662341E-05 0.4449587
Moved 1442.637 373.2076 563.8679 0.03057321 0.4523351
Moved 1442.668 399.8095 565.7341 0.09215156 0.457135
Moved 1442.699 428.5 568.5 0.1585648 0.4642488
Moved 1442.729 446.9099 568 0.2011804 0.4629629
Moved 1442.76 462.2667 568 0.2367284 0.4629629
Moved 1442.791 471.7829 568 0.2587568 0.4629629
Moved 1442.822 479.3938 564.7478 0.2763745 0.4545982
Moved 1442.852 493.3417 554.4388 0.3086615 0.4280834
Moved 1442.883 497.6596 552.7802 0.3186565 0.4238172
Moved 1442.914 505.2278 547.8861 0.3361753 0.4112296
Moved 1442.945 507.1955 546.4023 0.3407303 0.4074132
Moved 1442.975 511.4667 543.5333 0.3506173 0.4000342
Moved 1443.006 514.3367 542 0.3572609 0.3960905
Moved 1443.037 516.9139 540.0861 0.3632267 0.3911678
Moved 1443.068 519.7457 539 0.3697818 0.3883744
Moved 1443.098 521.6253 537.3747 0.3741327 0.3841941
Moved 1443.129 522.5 536.5 0.3761573 0.3819444
Moved 1443.16 522 534.9896 0.375 0.3780596
Moved 1443.19 498.7706 531.1101 0.3212283 0.3680815
Moved 1443.221 472.2455 528.2495 0.2598275 0.3607239
Moved 1443.252 450.5 528 0.2094908 0.3600822
Moved 1443.283 422.8498 528 0.1454856 0.3600822
Moved 1443.313 412.0057 528 0.1203836 0.3600822
Moved 1443.344 406.2531 528 0.1070674 0.3600822
Moved 1443.375 400.0506 535.4747 0.09270975 0.3793074
Moved 1443.406 393.2926 538.3537 0.07706632 0.3867121
Moved 1443.436 386.5576 540.2212 0.06147603 0.3915153
Moved 1443.467 380.8044 542 0.04815847 0.3960905
