the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Stationary 1567.865 258 386 -0.2361111 -0.005144111
Stationary 1567.896 258 386 -0.2361111 -0.005144111
Stationary 1567.927 258 386 -0.2361111 -0.005144111
Stationary 1567.957 258 386 -0.2361111 -0.005144111
Stationary 1567.988 258 386 -0.2361111 -0.005144111
Stationary 1568.019 258 386 -0.2361111 -0.005144111
Stationary 1568.05 258 386 -0.2361111 -0.005144111
Stationary 1568.08 258 386 -0.2361111 -0.005144111
Moved 1568.111 267.9058 386 -0.213181 -0.005144111
Moved 1568.142 270.787 394.574 -0.2065116 0.01690833
Moved 1568.172 272.3303 399.6606 -0.202939 0.02999129
Moved 1568.203 274 404.4083 -0.199074 0.04220248
Moved 1568.234 277.0759 411.1518 -0.1919539 0.05954679
Moved 1568.265 280.6905 419.0714 -0.1835869 0.07991614
Moved 1568.295 285.8874 429.7747 -0.171557 0.1074451
Moved 1568.326 291.634 441.268 -0.1582546 0.1370061
Moved 1568.357 296.1862 450.3724 -0.1477171 0.1604227
Moved 1568.387 299.7366 457.21 -0.1394985 0.1780091
Moved 1568.418 303.6088 464.8264 -0.1305352 0.1975986
Moved 1568.449 307.4827 473.4481 -0.1215678 0.2197738
Moved 1568.479 310.347 480.6939 -0.1149376 0.2384101
Moved 1568.51 311 485.7234 -0.113426 0.2513463
Moved 1568.541 312 491.7278 -0.1111111 0.2667895
Moved 1568.572 312 496.5931 -0.1111111 0.2793033
Moved 1568.602 312 500.2568 -0.1111111 0.2887264
Moved 1568.633 313.0309 503.0309 -0.1087247 0.2958614
Moved 1568.664 313 505.9048 -0.1087963 0.3032531
Moved 1568.694 313 509.9034 -0.1087963 0.3135376
Moved 1568.725 314.7481 512.7481 -0.1047497 0.3208541
Moved 1568.756 316.5 515.5 -0.1006944 0.327932
Moved 1568.787 317.0281 516.0281 -0.09947205 0.3292902
Moved 1568.817 318.6794 518.6794 -0.09564956 0.3361095
Moved 1568.848 322 522.8704 -0.08796295 0.3468887
Moved 1568.879 323.311 524.311 -0.08492818 0.3505941
Moved 1568.909 324.1823 526.1823 -0.0829113 0.3554071
Moved 1568.94 324 527.3163 -0.08333336 0.3583237
Stationary 1568.971 324 527.3163 -0.08333336 0.3583237
Moved 1569.002 324 528.1871 -0.08333336 0.3605635
Moved 1569.032 324 529 -0.08333336 0.3626543
Moved 1569.063 312.2405 529 -0.1105544 0.3626543
Moved 1569.094 306.2539 529 -0.1244122 0.3626543
Moved 1569.124 299.7725 529 -0.1394155 0.3626543
Moved 1569.155 295.8596 529 -0.1484732 0.3626543
Moved 1569.186 289.5136 529 -0.1631629 0.3626543
Moved 1569.217 286.6491 529 -0.1697938 0.3626543
Stationary 1569.247 286.6491 529 -0.1697938 0.3626543
Moved 1569.278 286 529 -0.1712963 0.3626543
Moved 1569.309 285 520.6357 -0.1736111 0.3411413
Moved 1569.339 285 522 -0.1736111 0.3446501
Moved 1569.37 291.1406 520.3177 -0.1593967 0.3403232
Moved 1569.401 307.5935 518 -0.1213114 0.3343621
Moved 1569.432 326.096 517 -0.07848148 0.33179
Moved 1569.462 341.8696 517 -0.04196848 0.33179
Moved 1569.493 360.2624 517 0.000607272 0.33179
Moved 1569.524 383.2017 525.6002 0.05370766 0.3539099
Moved 1569.554 402.8347 529.9449 0.09915432 0.3650845
Moved 1569.585 420.0852 535.6951 0.139086 0.3798741
Moved 1569.616 431.7102 539.8551 0.1659959 0.3905738
Moved 1569.646 442.1815 543.7272 0.190235 0.4005328
Moved 1569.677 449 546 0.2060185 0.4063785
Stationary 1569.708 449.0742 546 0.2061902 0.4063785
Moved 1569.739 453.9819 546 0.2175507 0.4063785
Moved 1569.769 458.7219 528.6953 0.2285228 0.3618706
Moved 1569.8 469.164 493.717 0.2526945 0.2719059
Moved 1569.831 483.0244 442.5648 0.2847788 0.1403415
Moved 1569.861 489.5944 414.6224 0.299987 0.06847323
Moved 1569.892 496.1646 387.2592 0.3151959 -0.001905582
Moved 1569.923 500.6963 372.2149 0.3256858 -0.0405996
Moved 1569.954 503 363.0973 0.3310186 -0.06405018
Moved 1569.984 504 356.3403 0.3333333 -0.08142942
Moved 1570.015 505 351.8001 0.3356481 -0.09310678
Moved 1570.046 505 349.5 0.3356481 -0.09902263
Moved 1570.076 505 347.5 0.3356481 -0.1041667
Moved 1570.107 491.0132 348 0.3032713 -0.1028807
Moved 1570.138 477.1957 348 0.2712865 -0.1028807
Moved 1570.169 448.2967 360.6758 0.2043906 -0.07027826
Moved 1570.199 425.0114 369.7955 0.1504893 -0.04682242
Moved 1570.23 412.9247 376.1721 0.1225109 -0.03042166
Moved 1570.261 391.6432 394.3568 0.07324816 0.01634963
Moved 1570.291 361.1444 418.7778 0.002649129 0.07916105
Moved 1570.322 338.3093 438.6907 -0.05021006 0.1303773
Moved 1570.353 321.8525 452.318 -0.08830433 0.1654269
Moved 1570.384 311.5032 458.7484 -0.1122612 0.181966
Moved 1570.414 300.0465 466.4767 -0.1387812 0.2018434
Moved 1570.445 290.5356 473.2322 -0.1607972 0.2192185
Moved 1570.476 284.5658 477.7171 -0.1746163 0.2307538
Moved 1570.506 277.0355 482.9645 -0.1920475 0.2442503
Moved 1570.537 272.2995 487.7005 -0.2030104 0.2564313
Moved 1570.568 268 493 -0.212963 0.2700616
Moved 1570.599 265.2307 498.308 -0.2193734 0.2837139
Moved 1570.629 262.5247 502.713 -0.2256373 0.2950436
Moved 1570.66 257.0503 511.8995 -0.2383096 0.3186714
Moved 1570.691 254.2229 514.7771 -0.2448544 0.3260727
Ended 1570.721 252 519 -0.25 0.3369341
Candidates 1570.813 13 strike sterile front stroke fertile some stole crime style struggle stone settle woke
Began 1571.458 352 397 -0.01851852 0.02314815
Stationary 1571.489 352 397 -0.01851852 0.02314815
Stationary 1571.52 352 397 -0.01851852 0.02314815
Moved 1571.566 374.803 397 0.03426611 0.02314815
Moved 1571.596 390.1324 397 0.06975085 0.02314815
Moved 1571.627 403.815 397 0.1014236 0.02314815
Moved 1571.658 414.2819 397 0.1256526 0.02314815
Moved 1571.689 422.9221 397 0.1456531 0.02314815
Moved 1571.719 429.6758 397 0.1612865 0.02314815
Moved 1571.75 433.7165 397 0.1706399 0.02314815
Ended 1571.781 434 397 0.1712963 0.02314815
Accept 1571.873 0 strike
Began 1572.395 545 386 0.4282407 -0.005144111
Stationary 1572.426 545 386 0.4282407 -0.005144111
Stationary 1572.456 545 386 0.4282407 -0.005144111
Stationary 1572.487 545 386 0.4282407 -0.005144111
Stationary 1572.518 545 386 0.4282407 -0.005144111
Moved 1572.549 562.0949 391.9441 0.4678123 0.01014415
Moved 1572.579 577.5472 399.4189 0.5035815 0.02936944
Moved 1572.61 595.4131 406.6057 0.5449378 0.04785396
Moved 1572.641 611.6766 413.1353 0.5825846 0.06464836
Moved 1572.671 622.9564 417.9891 0.6086954 0.07713235
Moved 1572.702 633.5966 422.7311 0.6333255 0.08932886
Moved 1572.733 641.1686 425.3895 0.6508532 0.09616639
Moved 1572.764 645.5168 427.2584 0.6609187 0.1009732
Moved 1572.794 648.1367 428.1367 0.666983 0.1032321
Moved 1572.825 650 428 0.6712963 0.1028806
Moved 1572.856 651.5754 429 0.674943 0.1054526
Ended 1572.886 653.4026 429 0.6791728 0.1054526
PhraseEnd 1573.009
