the punishment should fit the crime
the punishment should fit the crime
Basic
Radial

0.6 0.6
432 388.8
Moved 954.913 291.5458 258 -0.1584588 -0.3343622
Moved 954.9437 289.5 258 -0.1631944 -0.3343622
Moved 954.9744 290 258 -0.162037 -0.3343622
Moved 955.0052 290 268.5928 -0.162037 -0.3071173
Moved 955.0359 290 283.378 -0.162037 -0.2690896
Moved 955.0667 290 304.3621 -0.162037 -0.2151181
Moved 955.0974 297.949 337.1178 -0.1436365 -0.1308699
Moved 955.1281 301.3444 378.821 -0.1357769 -0.02360858
Moved 955.1589 305.2106 403.8955 -0.1268273 0.04088343
Moved 955.1896 307.0939 438.0329 -0.1224678 0.1286854
Moved 955.2203 309 455.9243 -0.1180555 0.1747023
Moved 955.251 309 478.5814 -0.1180555 0.2329768
Moved 955.2818 309 487.5118 -0.1180555 0.2559459
Moved 955.3125 309 492.3002 -0.1180555 0.2682618
Moved 955.3433 309 494.734 -0.1180555 0.2745215
Moved 955.374 309 497.5 -0.1180555 0.2816358
Moved 955.4047 309 499.4658 -0.1180555 0.2866916
Moved 955.4354 313.9221 504.9532 -0.1066618 0.3008055
Moved 955.4662 336.5349 511.707 -0.05431741 0.3181763
Moved 955.4969 371.0039 517.7276 0.02547204 0.3336614
Moved 955.5276 397.5 520.5 0.08680551 0.3407921
Moved 955.5584 423.2962 520 0.1465189 0.3395061
Moved 955.5891 443.1674 522 0.1925172 0.3446501
Moved 955.6198 458.5038 522.9008 0.2280181 0.3469669
Moved 955.6506 469.3196 523 0.2530547 0.3472221
Moved 955.6813 477.9303 523 0.2729868 0.3472221
Moved 955.7121 483.3733 509.0668 0.2855863 0.3113856
Moved 955.7427 483 454.6215 0.2847222 0.1713514
Moved 955.7735 471.0265 386.3047 0.2570058 -0.004360254
Moved 955.8043 469.5677 357.0573 0.253629 -0.07958525
Moved 955.835 469 286.1924 0.2523148 -0.2618509
Moved 955.8657 469 272.4251 0.2523148 -0.2972606
Moved 955.8965 469 250.7408 0.2523148 -0.3530329
Moved 955.9272 469 237.2566 0.2523148 -0.3877146
Moved 955.9579 469 229.6824 0.2523148 -0.4071955
Moved 955.9886 469 225.0679 0.2523148 -0.4190642
Moved 956.0194 469 224 0.2523148 -0.4218107
Moved 956.05 461.8694 230.8844 0.2358088 -0.404104
Moved 956.0809 441.2386 251.2913 0.1880523 -0.3516171
Moved 956.1115 415.7026 278.5568 0.1289413 -0.2814897
Moved 956.1423 388.1545 315.7811 0.06517252 -0.1857484
Moved 956.1731 368.7285 345.6888 0.02020478 -0.1088252
Moved 956.2038 338.3944 388.4313 -0.05001296 0.001109206
Moved 956.2345 329.3087 400.255 -0.07104456 0.03152004
Moved 956.2653 313.1989 416.8011 -0.108336 0.07407694
Moved 956.296 298.9467 431.0444 -0.141327 0.1107109
Moved 956.3267 283.4439 446.556 -0.1772131 0.150607
Moved 956.3574 268.4348 461.5652 -0.2119565 0.1892108
Moved 956.3881 254.7459 477.5049 -0.2436438 0.2302081
Ended 956.4189 249 487 -0.2569445 0.2546296
Candidates 956.5419 13 crime brings assume anyone crimes front gained zone stone actions comes belonged aimee
Began 956.9106 252 409 -0.25 0.05401234
Moved 956.9414 261.5251 409 -0.227951 0.05401234
Moved 956.9722 290.8456 395.7886 -0.1600796 0.0200323
Moved 957.0029 328 389 -0.07407407 0.002572016
Moved 957.0336 376.0549 387.863 0.0371641 -0.0003522708
Ended 957.0643 423.1152 388 0.1461001 -3.924585E-08
Accept 957.1257 0 crime
Began 957.6483 582 427 0.513889 0.1003086
Stationary 957.679 582 427 0.513889 0.1003086
Ended 957.7098 582 427 0.513889 0.1003086
Candidates 957.8019 4 l p k o
Began 959.2463 547 429 0.4328704 0.1054526
Moved 959.2772 527.0871 429 0.3867757 0.1054526
Moved 959.3079 505.188 429 0.3360834 0.1054526
Moved 959.3386 468.5836 429 0.251351 0.1054526
Ended 959.3693 446 429 0.199074 0.1054526
Cancel 959.4307
Began 959.9837 542 411 0.4212962 0.05915629
Stationary 960.0148 542 411 0.4212962 0.05915629
Stationary 960.0455 542 411 0.4212962 0.05915629
Stationary 960.0762 542 411 0.4212962 0.05915629
Moved 960.1069 556.5021 411 0.4548659 0.05915629
Moved 960.1376 565.2834 411 0.4751931 0.05915629
Moved 960.1683 570.9355 411 0.4882766 0.05915629
Moved 960.1991 577.5283 411 0.5035377 0.05915629
Ended 960.2298 585 419 0.5208333 0.07973251
Candidates 960.2913 13 l look lo k loop ol pool poll il ok ill kill oil
Began 961.2441 512 410 0.3518519 0.05658428
Moved 961.2748 502.6335 410 0.3301702 0.05658428
Moved 961.3055 470.1901 420.762 0.2550696 0.08426419
Moved 961.3362 422.7531 424 0.1452619 0.09259254
Moved 961.367 392 424 0.07407407 0.09259254
Ended 961.3977 392 424 0.07407407 0.09259254
Cancel 961.4899
Began 961.8895 658 377 0.6898147 -0.02829226
Stationary 961.9202 658 377 0.6898147 -0.02829226
Stationary 961.9509 658 377 0.6898147 -0.02829226
Ended 961.9817 658 377 0.6898147 -0.02829226
PhraseEnd 962.0432
