the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Ended 3215.699 378 402 0.04166663 0.03600815
NextCandidatePanel 3215.792
Began 3216.652 410 431 0.1157407 0.1105966
Moved 3216.683 399.3179 443.8185 0.0910136 0.1435662
Moved 3216.714 382.8987 464.1158 0.05300621 0.195771
Moved 3216.744 365.5715 486.1071 0.01289696 0.252333
Moved 3216.775 349.74 508.712 -0.02375002 0.3104733
Moved 3216.806 339.3433 524.3134 -0.04781638 0.3506001
Moved 3216.836 332.5928 534.6108 -0.06344259 0.3770852
Ended 3216.867 332 537 -0.06481484 0.3832304
Accept 3216.959 6 house
Began 3217.359 290 422 -0.162037 0.08744851
Moved 3217.39 309.7375 422 -0.1163483 0.08744851
Moved 3217.42 373.6796 422 0.03166576 0.08744851
Moved 3217.451 458.5 422 0.2280092 0.08744851
Moved 3217.482 537.3569 411.9064 0.4105484 0.06148766
Moved 3217.513 591.8812 410 0.536762 0.05658428
Moved 3217.543 627.5403 410 0.6193062 0.05658428
Moved 3217.574 660.2486 418.516 0.6950198 0.07848759
Ended 3217.605 679 423 0.738426 0.09002049
PhraseEnd 3217.666
