why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 2745.576 576.2703 463 0.5006256 0.1929011
Moved 2745.606 644.4384 454.3041 0.6584222 0.1705351
Moved 2745.637 656.045 454 0.6852894 0.169753
Ended 2745.668 661 454 0.6967592 0.169753
Accept 2745.729 0 question
Began 2746.251 537 424 0.4097222 0.09259254
Moved 2746.282 473.3736 433.9066 0.2624389 0.1180725
Moved 2746.313 343.955 453.7571 -0.03714129 0.1691284
Moved 2746.344 227.0611 467.1015 -0.307729 0.2034503
Moved 2746.374 159.5 471.5 -0.4641204 0.2147633
Moved 2746.405 123.5179 472 -0.5474123 0.2160493
Moved 2746.436 52.76354 450.3888 -0.7111955 0.1604649
Moved 2746.466 31.0653 438.8522 -0.7614229 0.1307927
Moved 2746.497 18.23847 423.8898 -0.7911147 0.092309
Moved 2746.528 8.619223 397.8577 -0.8133814 0.02535404
Ended 2746.559 5 374 -0.8217592 -0.03600823
Delete 2746.62 LeftSwipe
Began 2747.203 305 515 -0.1273148 0.326646
Stationary 2747.234 305 515 -0.1273148 0.326646
Moved 2747.265 284.7058 515 -0.1742921 0.326646
Moved 2747.296 255.8059 515 -0.24119 0.326646
Moved 2747.326 232.7309 525.5054 -0.2946043 0.3536662
Moved 2747.357 212.6276 527.6246 -0.3411398 0.3591168
Moved 2747.387 194.4888 529 -0.3831278 0.3626543
Moved 2747.418 180.8787 529 -0.4146326 0.3626543
Moved 2747.449 169.3521 529.912 -0.4413147 0.3649999
Moved 2747.48 163.435 530 -0.4550115 0.3652262
Moved 2747.51 160.3432 530 -0.4621684 0.3652262
Moved 2747.541 160 531.0661 -0.462963 0.3679683
Stationary 2747.572 160 531.0661 -0.462963 0.3679683
Moved 2747.603 160 532 -0.462963 0.3703703
Moved 2747.633 188 532 -0.3981482 0.3703703
Moved 2747.664 266.6273 533 -0.2161404 0.3729423
Moved 2747.695 307.8128 533 -0.1208038 0.3729423
Moved 2747.726 338.5056 525.6461 -0.04975557 0.354028
Moved 2747.756 370.9911 522.4174 0.02544244 0.3457237
Moved 2747.787 402.5267 519.5473 0.09844144 0.3383417
Moved 2747.818 428.2599 518 0.158009 0.3343621
Moved 2747.848 442.7501 515.8125 0.191551 0.3287357
Moved 2747.879 447.5181 515 0.2025882 0.326646
Moved 2747.91 450 515 0.2083333 0.326646
Stationary 2747.94 450 515 0.2083333 0.326646
Moved 2747.971 418.6331 530.1572 0.1357248 0.3656307
Moved 2748.002 372.4575 545.6356 0.02883683 0.4054413
Moved 2748.033 335.6264 550.7811 -0.05642041 0.4186757
Moved 2748.063 292.1823 551 -0.1569853 0.4192385
Moved 2748.094 258.7321 542.9417 -0.2344164 0.3985124
Moved 2748.125 234.8251 535.9344 -0.2897568 0.3804896
Moved 2748.156 218.4756 530.1902 -0.3276027 0.3657156
Moved 2748.186 206.5 523.5 -0.3553241 0.3485081
Moved 2748.217 195.7673 511.4592 -0.3801683 0.3175389
Moved 2748.248 186.4261 493.8522 -0.4017915 0.2722534
Moved 2748.278 176.8522 464.409 -0.4239531 0.1965251
Moved 2748.309 171.4265 436.1178 -0.4365128 0.1237596
Moved 2748.34 171 404.5085 -0.4375 0.04246005
Moved 2748.37 171 382.7449 -0.4375 -0.01351635
Moved 2748.401 171 368.258 -0.4375 -0.05077684
Moved 2748.432 182.5011 359.4988 -0.410877 -0.07330553
Moved 2748.462 188.61 355.39 -0.3967362 -0.0838735
Moved 2748.493 197.9348 354 -0.3751509 -0.08744855
Moved 2748.524 212.0977 354 -0.3423665 -0.08744855
Moved 2748.555 232.3407 371.4506 -0.2955077 -0.0425655
Moved 2748.585 251.5309 390.286 -0.251086 0.005879618
Moved 2748.616 266.491 408.3593 -0.216456 0.05236429
Moved 2748.647 278.7518 426.1277 -0.1880745 0.09806511
Moved 2748.677 291.9521 444.933 -0.1575182 0.1464325
Moved 2748.708 302.6232 458.4976 -0.1328166 0.181321
Moved 2748.739 313 469 -0.1087963 0.2083333
Moved 2748.77 332.9633 484.4023 -0.06258497 0.2479484
Moved 2748.8 356.706 497.7755 -0.007625023 0.2823442
Moved 2748.831 385.2461 506.0739 0.05844007 0.3036878
Moved 2748.862 406.3846 509.5385 0.1073717 0.3125988
Moved 2748.892 427.8926 511 0.1571589 0.3163579
Moved 2748.923 443.3894 511 0.1930309 0.3163579
Moved 2748.954 455.5837 511 0.2212586 0.3163579
Moved 2748.985 464.1703 502.2766 0.241135 0.293921
Moved 2749.015 471.1824 495.8176 0.2573667 0.2773085
