electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Moved 1423.991 354.0834 514.0167 -0.01369576 0.3241168
Moved 1424.022 335.8065 510.1613 -0.05600338 0.3142008
Moved 1424.052 320.006 507.2866 -0.09257873 0.3068069
Moved 1424.083 302.5058 506 -0.1330884 0.3034978
Moved 1424.114 287.5399 506 -0.1677318 0.3034978
Moved 1424.145 272.2507 505 -0.2031233 0.3009258
Moved 1424.175 261.5237 504 -0.2279545 0.2983539
Moved 1424.206 251 503 -0.2523148 0.2957818
Moved 1424.237 237.8537 502 -0.2827461 0.2932098
Moved 1424.268 227.8043 502 -0.3060086 0.2932098
Moved 1424.298 221.0784 502 -0.3215778 0.2932098
Moved 1424.329 217.5199 502 -0.3298151 0.2932098
Moved 1424.36 217 502 -0.3310185 0.2932098
Stationary 1424.39 217 502 -0.3310185 0.2932098
Moved 1424.421 239.9854 509 -0.2778115 0.3112139
Moved 1424.452 320.9317 484.3239 -0.09043588 0.2477466
Moved 1424.483 343.4028 473.8274 -0.03841946 0.2207494
Moved 1424.513 378.3358 455.635 0.04244397 0.1739582
Moved 1424.544 403.5753 443.2123 0.1008688 0.142007
Moved 1424.575 431.8125 431.9943 0.1662326 0.113154
Moved 1424.605 450.9988 423.0006 0.2106454 0.09002206
Moved 1424.636 468.207 414.862 0.2504793 0.06908938
Moved 1424.667 482.2392 407.8804 0.282961 0.05113276
Moved 1424.698 492.616 402.192 0.3069815 0.03650202
Moved 1424.728 499.5483 398.2258 0.3230285 0.02630092
Moved 1424.759 503.5 394.5 0.3321759 0.01671807
Moved 1424.79 508.395 391.8025 0.3435069 0.009780028
Moved 1424.821 512.0658 388.9342 0.3520042 0.002402788
Moved 1424.851 521.0513 383.6495 0.372804 -0.01118954
Moved 1424.882 522.6494 382.6753 0.3765033 -0.01369531
Moved 1424.913 528.6154 378.6923 0.3903134 -0.0239395
Moved 1424.943 531.1799 376.8201 0.3962499 -0.02875497
Moved 1424.974 533 376 0.4004629 -0.03086435
Moved 1425.005 535.6174 374.3826 0.4065217 -0.03502418
Moved 1425.036 537.2436 374 0.4102861 -0.03600823
Stationary 1425.066 537 374 0.4097222 -0.03600823
Stationary 1425.097 537 374 0.4097222 -0.03600823
Ended 1425.128 538 374 0.4120371 -0.03600823
Began 1425.865 322 213 -0.08796295 -0.4501029
Stationary 1425.896 322 213 -0.08796295 -0.4501029
Stationary 1425.927 322 213 -0.08796295 -0.4501029
Stationary 1425.958 322 213 -0.08796295 -0.4501029
Moved 1425.988 322 236.0669 -0.08796295 -0.3907744
Moved 1426.019 311.9758 257.6089 -0.1111671 -0.3353682
Moved 1426.05 305.228 285.0882 -0.1267871 -0.2646909
Moved 1426.08 298.4919 308.0325 -0.1423799 -0.2056779
Moved 1426.111 290.4698 331.9038 -0.1609496 -0.1442804
Moved 1426.142 283.6738 351.9787 -0.1766811 -0.09264746
Moved 1426.172 277.464 371.6801 -0.1910556 -0.04197509
Moved 1426.203 274 389.8234 -0.199074 0.004689841
Moved 1426.234 274 405.4584 -0.199074 0.04490318
Moved 1426.265 272.2119 423.5171 -0.2032133 0.09135041
Moved 1426.295 270 441.619 -0.2083333 0.137909
Moved 1426.326 270 455 -0.2083333 0.172325
Moved 1426.357 270 468.5626 -0.2083333 0.2072081
Moved 1426.388 270 482.8338 -0.2083333 0.243914
Moved 1426.418 270 496.3724 -0.2083333 0.2787355
Moved 1426.449 270 504.8394 -0.2083333 0.3005128
Moved 1426.48 270 519.2152 -0.2083333 0.3374876
Moved 1426.51 270 542.5 -0.2083333 0.3973764
Moved 1426.541 277.2926 560.2925 -0.1914524 0.4431392
Moved 1426.572 278 573.6573 -0.1898148 0.4775136
Moved 1426.603 278 576.6885 -0.1898148 0.4853099
Moved 1426.633 278 578 -0.1898148 0.488683
Stationary 1426.664 278 578 -0.1898148 0.488683
Moved 1426.695 288.0949 573.542 -0.1664471 0.4772169
Moved 1426.726 321.0786 555.4607 -0.09009589 0.4307115
Moved 1426.756 359.2926 534.9756 -0.001637489 0.3780237
Moved 1426.787 386.0746 517.6169 0.06035795 0.3333769
Moved 1426.849 413.7269 500.3638 0.1243678 0.2890016
Moved 1426.879 456.1483 469.8517 0.2225654 0.210524
Moved 1426.91 463.3113 463.7509 0.2391466 0.1948325
Moved 1426.941 476.7549 452.1838 0.2702661 0.1650816
Moved 1426.971 487.2708 442.5469 0.2946083 0.1402955
Moved 1427.002 494.7707 436.2292 0.3119692 0.1240463
Moved 1427.033 503.6364 428.3636 0.3324916 0.1038157
Moved 1427.064 511.227 420.773 0.3500625 0.08429264
Moved 1427.094 517.8356 412.1644 0.3653603 0.06215111
Moved 1427.125 522.892 405.6619 0.3770648 0.04542669
Moved 1427.156 528.6343 399.0486 0.3903571 0.02841702
Moved 1427.187 534.3969 392.4047 0.4036966 0.01132883
Moved 1427.217 537.7996 389.2004 0.411573 0.003087471
Moved 1427.248 540.6029 385.3971 0.4180623 -0.006694754
Moved 1427.279 542 382.5279 0.4212962 -0.01407443
Moved 1427.309 544 379.6561 0.4259259 -0.02146081
Moved 1427.34 545.5 378.5 0.4293981 -0.02443423
Moved 1427.371 546 376.2683 0.4305556 -0.03017418
Moved 1427.401 546 373.5 0.4305556 -0.03729432
Moved 1427.432 546 371.5286 0.4305556 -0.04236472
Moved 1427.463 546 370.9623 0.4305556 -0.04382137
