taking the train is usually faster
Basic
0.6 0.6
432 388.8
Moved 844.3661 377.4287 388.3673 0.0403442 0.0009446477
Moved 844.3969 397.3735 382.5422 0.08651276 -0.01403769
Moved 844.4276 421.1658 375.9631 0.1415875 -0.03095909
Moved 844.4583 446.1909 369.2312 0.1995159 -0.04827382
Moved 844.489 462.5 366.5 0.2372685 -0.05529835
Moved 844.5198 477.5941 363.6812 0.2722087 -0.06254856
Moved 844.5505 487.7739 361.8065 0.295773 -0.06737015
Moved 844.5812 495.1833 362 0.3129243 -0.06687243
Moved 844.6119 500.8167 362 0.3259645 -0.06687243
Moved 844.6427 506.9384 362 0.3401352 -0.06687243
Moved 844.6734 512.6723 362 0.353408 -0.06687243
Moved 844.7041 518.4011 362 0.3666691 -0.06687243
Moved 844.7349 525.4107 366.9374 0.3828951 -0.05417325
Moved 844.7656 533.7263 371.5754 0.4021443 -0.04224432
Moved 844.7963 540.8925 373 0.4187325 -0.03858032
Moved 844.827 546.9828 376 0.4328306 -0.03086435
Moved 844.8577 551.8535 378.8535 0.4441053 -0.02352514
Moved 844.8885 554.7322 380 0.450769 -0.02057613
Moved 844.9192 556.1501 381.1501 0.4540511 -0.01761817
Moved 844.9499 558.0423 382 0.4584312 -0.01543218
Moved 844.9807 559.5 384.5 0.4618056 -0.009002057
Moved 845.0114 560 387.6755 0.462963 -0.0008345238
Moved 845.0421 560 393 0.462963 0.01285996
Moved 845.0728 543.5755 405.4245 0.4249433 0.04481606
Moved 845.1035 529.2634 415.442 0.3918133 0.07058123
Moved 845.1341 512.9628 425.0212 0.3540806 0.09521919
Moved 845.165 496.0751 433.7361 0.3149887 0.1176339
Moved 845.1957 475.5153 444.2423 0.2673966 0.1446561
Moved 845.2264 454.3049 457.1301 0.2182983 0.1778035
Moved 845.2571 436.0105 465.4948 0.1759503 0.1993177
Moved 845.2879 419.4233 472.9614 0.1375539 0.2185221
Moved 845.3186 401.856 481.572 0.09688904 0.2406685
Moved 845.3493 386.0455 490.1727 0.06029059 0.2627897
Moved 845.3801 374.2313 498.8149 0.03294279 0.2850178
Moved 845.4108 361.7628 508.4279 0.004080634 0.3097423
Moved 845.4415 349.9845 517.3436 -0.02318397 0.3326739
Moved 845.4722 341.9221 523.0779 -0.04184708 0.3474226
Moved 845.5029 335.8798 528.0601 -0.05583381 0.3602368
Moved 845.5336 331.0657 533.803 -0.06697759 0.3750076
Moved 845.5644 327.2019 537.798 -0.07592147 0.3852829
