questioning the wisdom of the courts
questioning the wisdom of the courts
Basic
0.6 0.6
432 326.4
Moved 1625.95 493.2262 476.1888 0.308394 0.3314607
Moved 1626.022 533.1804 445.8196 0.4008805 0.238418
Moved 1626.067 550.104 429.896 0.4400555 0.1896324
Moved 1626.111 559.6721 415.9919 0.4622038 0.147034
Moved 1626.156 562 397.802 0.4675925 0.0913052
Moved 1626.203 534.748 340.7109 0.4045094 -0.08360611
Moved 1626.25 498.6923 290.8654 0.321047 -0.2363194
Moved 1626.298 471.2316 260.0776 0.2574807 -0.3306445
Moved 1626.344 453.559 251 0.2165718 -0.358456
Moved 1626.394 434.4395 294.4082 0.1723136 -0.2254652
Moved 1626.44 433 376.3082 0.1689814 0.02545404
Moved 1626.513 443.4253 460.1901 0.1931142 0.282445
Moved 1626.565 450.9728 508.8914 0.2105853 0.4316527
Moved 1626.611 451 514.5 0.2106482 0.4488358
Moved 1626.656 452 515 0.2129629 0.4503677
Moved 1626.701 454 449.8972 0.2175926 0.2509105
Moved 1626.748 429.8063 340.8706 0.1615888 -0.08311702
Moved 1626.794 408.0745 282.149 0.1112837 -0.2630238
Moved 1626.839 384.0794 236.9429 0.05573928 -0.4015231
Moved 1626.886 371.8237 219.8237 0.02736956 -0.4539714
Moved 1626.932 364.8472 216 0.01122047 -0.4656863
Moved 1627.005 338.0256 259.3336 -0.0508667 -0.3329242
Moved 1627.051 323.0015 318.492 -0.08564477 -0.1516788
Moved 1627.1 321 384.3118 -0.09027779 0.04997478
Moved 1627.146 330.6418 404.5096 -0.06795883 0.1118553
Ended 1627.193 335 413 -0.05787035 0.1378676
Candidates 1627.296 5 questioning staining wrestling retailing startling
Began 1627.904 312 393 -0.1111111 0.0765931
Moved 1627.965 321.4919 502.6778 -0.08913904 0.4126159
Ended 1628.013 304 573 -0.1296296 0.6280637
Accept 1628.057 questioning
Began 1628.55 335 495 -0.05787035 0.3890932
Stationary 1628.612 335 495 -0.05787035 0.3890932
Moved 1628.661 327.2244 483.0842 -0.07586952 0.3525864
Moved 1628.706 321.6815 464.726 -0.08870025 0.2963418
Moved 1628.758 320 457.3781 -0.09259259 0.2738298
Moved 1628.803 320 452.4056 -0.09259259 0.2585956
Moved 1628.847 320 449.1066 -0.09259259 0.2484883
Moved 1628.891 320 448 -0.09259259 0.2450981
Moved 1628.936 338.9409 440.5295 -0.04874796 0.2222107
Moved 1628.983 376.5569 413.4431 0.03832628 0.1392251
Moved 1629.037 403.1968 389.2426 0.09999255 0.0650814
Moved 1629.085 414.1773 372.6454 0.1254105 0.01423219
Moved 1629.131 415 369.8549 0.1273148 0.005682778
Stationary 1629.177 415 370 0.1273148 0.006127451
Moved 1629.222 384.5441 379.6114 0.05681495 0.03557421
Moved 1629.27 269.8817 433.0591 -0.2086072 0.1993234
Moved 1629.314 233.2771 453.2338 -0.2933401 0.2611329
Moved 1629.358 223.4367 463.0844 -0.3161187 0.2913125
Moved 1629.407 216 482.5212 -0.3333333 0.3508615
Moved 1629.451 215 489.5354 -0.3356481 0.3723512
Ended 1629.525 215 498 -0.3356481 0.3982843
Candidates 1629.612 5 the there threw where trigger
Began 1630.058 275 417 -0.1967592 0.1501226
Moved 1630.114 275 452.7428 -0.1967592 0.2596287
Ended 1630.161 252.5609 586.7176 -0.2487017 0.6700907
Accept 1630.208 the
Began 1630.596 172 470 -0.4351852 0.3125
Stationary 1630.661 172 470 -0.4351852 0.3125
Moved 1630.708 160.4097 464.434 -0.4620146 0.2954474
Moved 1630.754 153.883 458.9415 -0.4771227 0.2786196
Moved 1630.801 147.6301 454.6301 -0.4915969 0.2654109
Moved 1630.848 142.6756 451.6756 -0.5030658 0.2563591
Moved 1630.894 142 450.5 -0.5046296 0.2527573
Moved 1630.938 142 451 -0.5046296 0.2542892
Moved 1630.984 160.3802 456.9153 -0.462083 0.272412
Moved 1631.03 186.8307 465.2769 -0.4008549 0.2980297
Moved 1631.075 220.0932 473.1093 -0.3238583 0.3220261
Moved 1631.119 274.6804 478.835 -0.1974991 0.3395681
Moved 1631.163 366.3437 478 0.0146844 0.3370098
Moved 1631.207 442.553 452.3683 0.191095 0.2584813
Moved 1631.269 490.364 439.909 0.3017685 0.2203094
Moved 1631.313 494.9597 439 0.3124067 0.2175246
Moved 1631.358 496 437.6276 0.3148148 0.21332
Moved 1631.403 407.3659 403.0463 0.1096433 0.1073721
Moved 1631.449 292.4362 364.2534 -0.1563976 -0.01147869
Moved 1631.498 236.5036 342.2706 -0.2858714 -0.07882773
Moved 1631.549 195.0748 328.8149 -0.3817714 -0.1200523
Moved 1631.597 188.8708 329 -0.3961324 -0.1194852
Moved 1631.647 187 329 -0.4004629 -0.1194852
Moved 1631.691 202.3959 346.8542 -0.3648244 -0.06478506
Moved 1631.768 267.7756 365 -0.2134824 -0.009191177
Moved 1631.813 305.7497 366 -0.1255795 -0.006127451
Moved 1631.856 363.96 380.92 0.009166598 0.03958328
Moved 1631.903 423.1213 420.5909 0.146114 0.1611242
Moved 1631.95 468.2856 450.8571 0.2506612 0.2538513
Moved 1631.996 497.6695 462.8898 0.3186794 0.2907164
Moved 1632.042 507.5584 463 0.3415705 0.291054
Moved 1632.087 518.3723 458.1971 0.3666025 0.2763393
Moved 1632.133 522.9865 452.0135 0.3772835 0.2573945
Moved 1632.179 523 435.4119 0.3773148 0.2065316
Moved 1632.257 481.0326 345.4093 0.2801679 -0.06921161
Moved 1632.303 453.4263 271.5248 0.2162646 -0.2955736
Moved 1632.353 439.8728 225.2427 0.1848907 -0.4373692
Moved 1632.4 435.6042 202.417 0.1750099 -0.5073009
Ended 1632.446 432 189 0.1666667 -0.5484068
Candidates 1632.494 5 wisdom wilson equation quotation seldom
Began 1632.874 364 341 0.009259283 -0.08272059
Moved 1632.926 364 354.0616 0.009259283 -0.0427033
Moved 1632.98 364 509.5 0.009259283 0.4335172
Ended 1633.027 345 566 -0.03472224 0.6066177
Accept 1633.073 wisdom
Began 1633.582 496 477 0.3148148 0.3339461
Stationary 1633.633 496 477 0.3148148 0.3339461
Stationary 1633.676 496 477 0.3148148 0.3339461
Stationary 1633.719 496 477 0.3148148 0.3339461
Moved 1633.767 496 463.8835 0.3148148 0.2937607
