usage,type,key,x,y
Indirect,start,b,0,-0.356481
Indirect,start,b,0.0694445,-0.298611
Indirect,start,b,-0.00694444,-0.319444
Indirect,start,b,0.0995371,-0.321759
Indirect,start,b,-0.0023148,-0.166667
Indirect,start,b,-0.00925928,-0.180556
Indirect,start,b,0.00694444,-0.25463
Indirect,start,b,0.0555556,-0.168982
Indirect,start,b,-0.037037,-0.189815
Indirect,start,b,0.0277778,-0.268519
Indirect,start,b,-0.0162037,-0.263889
Indirect,start,b,0.0532408,-0.106482
Indirect,start,b,0.0995371,-0.168982
Indirect,start,b,-0.00694444,-0.178241
Indirect,start,b,0.101852,-0.358796
Indirect,start,b,0.0949074,-0.384259
Indirect,start,b,-0.0694444,-0.428241
Indirect,start,b,0.115741,-0.451389
Indirect,start,b,0.0393519,-0.377315
Indirect,start,b,0.0416666,-0.291667
Indirect,start,b,-0.0162037,-0.185185
Indirect,start,b,0.00694444,-0.270833
Indirect,start,b,0.0995371,-0.326389
Indirect,start,b,0.0347222,-0.273148
Indirect,start,b,0.00231485,-0.400463
Indirect,start,b,0.0347222,-0.402778
Indirect,start,b,0.0925926,-0.282407
Indirect,start,b,0.0277778,-0.326389
Indirect,start,b,0.0694445,-0.395833
Indirect,start,b,-0.00694444,-0.481482
Indirect,start,b,0.011574,-0.231482
Indirect,start,b,0.0138889,-0.324074
Indirect,start,b,0.00462959,-0.270833
Indirect,start,b,0.0185186,-0.31713
Indirect,start,b,-0.00694444,-0.259259
Indirect,start,b,0.0787037,-0.310185
Indirect,start,b,0.0995371,-0.425926
Indirect,start,b,0.0763889,-0.335648
Indirect,start,b,0.025463,-0.599537
Indirect,start,b,0.0324074,-0.481482
Indirect,start,b,0.12037,-0.289352
Indirect,start,b,0.185185,-0.331019
Indirect,start,b,0.0949074,-0.55787
Indirect,start,b,0.0972222,-0.488426
Indirect,start,b,0.0532408,-0.423611
Indirect,start,b,0.138889,-0.409722
Indirect,start,b,0.0879629,-0.409722
Indirect,start,b,0.125,-0.287037
Indirect,start,b,0.134259,-0.344907
Indirect,start,b,0.0925926,-0.425926
Indirect,start,b,0.127315,-0.5625
Indirect,start,b,0.0648148,-0.5625
Indirect,start,b,0.0717592,-0.44213
Indirect,start,b,0.12037,-0.474537
Indirect,start,b,0.185185,-0.472222
Indirect,start,b,0.138889,-0.532408
Indirect,start,b,0.118055,-0.465278
Indirect,start,b,0.240741,-0.398148
Indirect,start,b,0.233796,-0.388889
Indirect,start,b,0.166667,-0.368056
Indirect,start,b,0.113426,-0.310185
Indirect,start,b,0.0277778,-0.506944
Indirect,start,b,0.0393519,-0.388889
Indirect,start,c,-0.199074,-0.402778
Indirect,start,c,-0.106482,-0.303241
Indirect,start,c,-0.171296,-0.266204
Indirect,start,c,-0.194444,-0.324074
Indirect,start,c,-0.363426,-0.226852
Indirect,start,c,-0.19213,-0.391204
Indirect,start,c,-0.101852,-0.368056
Indirect,start,c,-0.215278,-0.31713
Indirect,start,c,-0.180556,-0.324074
Indirect,start,c,-0.18287,-0.474537
Indirect,start,c,-0.118055,-0.199074
Indirect,start,c,-0.252315,-0.206019
Indirect,start,c,-0.0763889,-0.287037
Indirect,start,c,-0.101852,-0.229167
Indirect,start,c,-0.168982,-0.173611
Indirect,start,c,-0.180556,-0.196759
Indirect,start,c,-0.217593,-0.261574
Indirect,start,c,-0.293982,-0.275463
Indirect,start,c,-0.210648,-0.493056
Indirect,start,c,-0.173611,-0.268519
Indirect,start,c,-0.155093,-0.210648
Indirect,start,c,-0.0740741,-0.289352
Indirect,start,c,-0.101852,-0.266204
Indirect,start,c,-0.0671296,-0.344907
Indirect,start,c,-0.155093,-0.201389
Indirect,start,c,-0.208333,-0.252315
Indirect,start,c,-0.131944,-0.284722
Indirect,start,c,-0.206019,-0.25463
Indirect,start,c,-0.131944,-0.224537
Indirect,start,c,-0.212963,-0.231482
Indirect,start,c,-0.0671296,-0.166667
Indirect,start,c,-0.134259,-0.291667
Indirect,start,c,-0.0787037,-0.19213
Indirect,start,c,-0.143518,-0.298611
Indirect,start,c,-0.289352,-0.263889
Indirect,start,c,0.0277778,-0.224537
Indirect,start,c,-0.0115741,-0.261574
Indirect,start,c,0.0625,-0.233796
Indirect,start,c,0.00231485,-0.212963
Indirect,start,c,-0.222222,-0.270833
Indirect,start,c,-0.0138889,-0.296296
Indirect,start,c,-0.289352,-0.25463
Indirect,start,c,0.118055,-0.337963
Indirect,start,c,-0.222222,-0.284722
Indirect,start,c,-0.168982,-0.398148
Indirect,start,c,-0.194444,-0.416667
Indirect,start,c,-0.256945,-0.344907
Indirect,start,c,-0.231482,-0.574074
Indirect,start,c,-0.141204,-0.49537
Indirect,start,c,-0.12963,-0.365741
Indirect,start,c,-0.178241,-0.405093
Indirect,start,c,-0.152778,-0.4375
Indirect,start,c,-0.136574,-0.3125
Indirect,start,c,-0.194444,-0.136574
Indirect,start,c,-0.185185,-0.50463
Indirect,start,c,0.00462959,-0.363426
Indirect,start,c,0.0601852,-0.199074
Indirect,start,c,0.0393519,-0.270833
Indirect,start,c,-0.25463,-0.335648
Indirect,start,c,-0.319444,-0.303241
Indirect,start,c,-0.217593,-0.363426
Indirect,start,c,-0.148148,-0.282407
Indirect,start,c,-0.229167,-0.273148
Indirect,start,c,-0.219907,-0.365741
Indirect,start,c,-0.127315,-0.275463
Indirect,start,c,-0.12963,-0.321759
Indirect,start,c,-0.224537,-0.368056
Indirect,start,c,-0.134259,-0.386574
Indirect,start,c,-0.180556,-0.303241
Indirect,start,c,-0.099537,-0.337963
Indirect,start,c,-0.212963,-0.296296
Indirect,start,c,-0.1875,-0.233796
Indirect,start,c,-0.0648148,-0.358796
Indirect,start,c,-0.206019,-0.303241
Indirect,start,c,-0.189815,-0.347222
Indirect,start,c,-0.0532408,-0.236111
Indirect,start,c,-0.118055,-0.224537
Indirect,start,c,-0.0763889,-0.25463
Indirect,start,c,0.00925928,-0.275463
Indirect,start,c,-0.217593,-0.141204
Indirect,start,c,-0.099537,-0.19213
Indirect,start,c,-0.0833334,-0.222222
Indirect,start,c,-0.141204,-0.180556
Indirect,start,c,-0.229167,-0.319444
Indirect,start,c,-0.291667,-0.199074
Indirect,start,c,-0.273148,-0.289352
Indirect,start,c,-0.171296,-0.354167
Indirect,start,c,-0.108796,-0.37037
Indirect,start,c,-0.138889,-0.180556
Indirect,start,c,-0.215278,-0.398148
Indirect,start,c,-0.266204,-0.261574
Indirect,start,c,-0.185185,-0.293981
Indirect,start,c,-0.25463,-0.226852
Indirect,start,c,0.0347222,-0.298611
Indirect,start,c,-0.180556,-0.247685
Indirect,start,c,-0.201389,-0.166667
Indirect,start,c,-0.166667,-0.261574
Indirect,start,c,-0.164352,-0.118056
Indirect,start,c,-0.00694444,-0.490741
Indirect,start,c,-0.025463,-0.319444
Indirect,start,c,-0.0486111,-0.305556
Indirect,start,c,0.0231482,-0.217593
Indirect,start,c,-0.152778,-0.291667
Indirect,start,c,-0.143518,-0.349537
Indirect,start,c,-0.111111,-0.449074
Indirect,start,c,-0.236111,-0.388889
Indirect,start,c,-0.12963,-0.310185
Indirect,start,c,-0.157407,-0.157407
Indirect,start,c,-0.00925928,-0.226852
Indirect,start,c,-0.145833,-0.43287
Indirect,start,c,-0.113426,-0.354167
Indirect,start,c,-0.145833,-0.395833
Indirect,start,c,-0.0810185,-0.331019
Indirect,start,c,0.00462959,-0.402778
Indirect,start,c,-0.159722,-0.606482
Indirect,start,c,-0.240741,-0.319444
Indirect,start,c,-0.157407,-0.37963
Indirect,start,c,-0.157407,-0.256945
Indirect,start,c,-0.219907,-0.55787
Indirect,start,c,-0.206019,-0.284722
Indirect,start,c,0.00462959,-0.300926
Indirect,start,c,-0.152778,-0.363426
Indirect,start,c,-0.131944,-0.349537
